signal_date,entry_date,exit_date,candidate_rank,ticker,entry_open,entry_close,exit_close,entry_market,exit_market,source_quality,adjustment_policy,official_ohlc_path_ready,blocked_reason,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-01-30,2015-02-02,2015-02-09,2,3045,104.0,106.0,107.0,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,3,3105,33.3,33.55,34.3,TPEx,TPEx,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,4,2448,56.5,55.0,56.5,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-01-30,2015-02-02,2015-02-09,5,3231,29.0,28.55,28.7,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,1,4938,81.0,82.2,86.9,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,2,4915,42.9,43.6,43.7,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,3,3035,39.7,40.55,41.25,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,4,2474,282.0,280.5,293.5,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-02-06,2015-02-09,2015-02-24,5,2330,143.0,142.0,151.0,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
2015-02-13,2015-02-24,2015-03-02,2,2330,149.0,151.0,149.0,TWSE,TWSE,official_unadjusted_ohlcv_selected_ticker_month,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,true,,0,False,False,False,False,False,False,False,True,False
