ticker,market,status,http_status,source_url,source_hash,response_bytes,retrieval_time_utc
0050,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/0050.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,1cf32bb20c996b64925c45ce57496e274248edb8883bbd8ef9a95b63571f4141,4399,2026-07-22T03:27:55+00:00
1810,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/1810.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,ebcbe86d906677c51dde8d500b8d42169f4b917a098db292f8c422d8dfd6b56a,4283,2026-07-22T03:27:57+00:00
2103,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/2103.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,6dd3bba3ca875e895419dadb0f5ed00b9106b7e3b4b5a8a904197b7713d18550,4361,2026-07-22T03:27:57+00:00
3149,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/3149.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,a4c6d7d8432bc22f088dcd2486ea2db2a1facfdab0fc9b293b4395009b2aaa8a,4443,2026-07-22T03:28:06+00:00
4939,TPEx,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/4939.TWO?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,91326c665e07476a778e81485ac025f9468c5994c66066288e64d112441822dc,4284,2026-07-22T03:28:11+00:00
6907,TPEx,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/6907.TWO?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,27b2189e46bb65481dd69781cb1d19fbee5c84f33ffae4b9b1eda16638428e96,2348,2026-07-22T03:28:17+00:00
6919,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/6919.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,7c8c8f62c4613e470f031a11b09d5c4eaede89682d83f320a96ad72de62ebf8c,2677,2026-07-22T03:28:17+00:00
6949,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/6949.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,5f3e1f6ead019b5ad489d8e5e5d2069694c6ec0f82b5673dbed762880f9885fc,2679,2026-07-22T03:28:17+00:00
7799,TWSE,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/7799.TW?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,6405e3b25e1d44e394a5bda473496d165a507740e3363c688d1bc1a7e39d37e3,2673,2026-07-22T03:28:17+00:00
7828,TPEx,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/7828.TWO?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,cf9e0cb28b45417d5169c5411916c7e538fcabde147d9ca15734cfb1d306596c,3058,2026-07-22T03:28:17+00:00
8383,TPEx,accepted,200,https://query1.finance.yahoo.com/v8/finance/chart/8383.TWO?period1=1767225600&period2=1772323200&interval=1d&events=div%2Csplits,fb8b163e4639f092d381fc4ba60a4d0e7c872fdcc99f6dd8bd4d49976bf3550c,4408,2026-07-22T03:28:19+00:00
