ticker,accepted_adjusted_sessions_through_20260720,minimum_required_sessions,ready_for_frozen_low_base,readiness_reason
0050,129,119,True,ready
1101,129,119,True,ready
1102,129,119,True,ready
1216,129,119,True,ready
1301,129,119,True,ready
1303,129,119,True,ready
1314,129,119,True,ready
1326,129,119,True,ready
1402,129,119,True,ready
1409,129,119,True,ready
1476,129,119,True,ready
1504,129,119,True,ready
1513,129,119,True,ready
1519,129,119,True,ready
1560,129,119,True,ready
1590,129,119,True,ready
1785,129,119,True,ready
1802,129,119,True,ready
1810,129,119,True,ready
1815,129,119,True,ready
2002,129,119,True,ready
2049,129,119,True,ready
2059,129,119,True,ready
2103,129,119,True,ready
2105,129,119,True,ready
2301,129,119,True,ready
2303,129,119,True,ready
2308,129,119,True,ready
2313,129,119,True,ready
2317,129,119,True,ready
2324,129,119,True,ready
2327,129,119,True,ready
2330,129,119,True,ready
2332,129,119,True,ready
2337,129,119,True,ready
2344,129,119,True,ready
2345,129,119,True,ready
2347,129,119,True,ready
2351,129,119,True,ready
2353,129,119,True,ready
2356,129,119,True,ready
2357,129,119,True,ready
2359,129,119,True,ready
2360,129,119,True,ready
2367,129,119,True,ready
2368,129,119,True,ready
2369,129,119,True,ready
2375,129,119,True,ready
2376,129,119,True,ready
2377,129,119,True,ready
2379,129,119,True,ready
2382,129,119,True,ready
2383,129,119,True,ready
2388,129,119,True,ready
2395,129,119,True,ready
2404,129,119,True,ready
2408,129,119,True,ready
2409,129,119,True,ready
2412,129,119,True,ready
2441,129,119,True,ready
2449,129,119,True,ready
2451,129,119,True,ready
2454,129,119,True,ready
2455,129,119,True,ready
2458,129,119,True,ready
2464,129,119,True,ready
2467,129,119,True,ready
2472,129,119,True,ready
2478,129,119,True,ready
2481,129,119,True,ready
2484,129,119,True,ready
2486,129,119,True,ready
2492,129,119,True,ready
2493,129,119,True,ready
2603,129,119,True,ready
2609,129,119,True,ready
2610,129,119,True,ready
2618,129,119,True,ready
2630,129,119,True,ready
2634,129,119,True,ready
2645,129,119,True,ready
2834,129,119,True,ready
2880,129,119,True,ready
2881,129,119,True,ready
2882,129,119,True,ready
2883,129,119,True,ready
2884,129,119,True,ready
2885,129,119,True,ready
2886,129,119,True,ready
2887,129,119,True,ready
2890,129,119,True,ready
2891,129,119,True,ready
2892,129,119,True,ready
