signal_date,entry_date,exit_date,ticker,candidate_records_for_ticker,blocked_reason,source_quality,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-04-30,2015-05-04,2015-05-11,2316,4,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2015-10-08,2015-10-12,2015-10-19,6143,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2015-10-16,2015-10-19,2015-10-26,8433,4,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2016-02-26,2016-03-01,2016-03-07,3324,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2017-02-03,2017-02-06,2017-02-13,3346,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2017-05-12,2017-05-15,2017-05-22,1569,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2017-10-27,2017-10-30,2017-11-06,6121,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2017-11-24,2017-11-27,2017-12-04,6573,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2018-03-16,2018-03-19,2018-03-26,6150,4,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2018-06-08,2018-06-11,2018-06-19,3090,4,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2018-06-29,2018-07-02,2018-07-09,8163,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2019-12-06,2019-12-09,2019-12-16,8040,4,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2021-06-18,2021-06-21,2021-06-28,2636,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2021-07-09,2021-07-12,2021-07-19,2351,3,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2021-12-30,2022-01-03,2022-01-10,8478,4,official_dividend_distribution_partial_missing_exright_trading_date_or_no_capital_change_route,partial_official_dividend_route,0,False,False,False,False,False,False,False,True,False
2022-08-12,2022-08-15,2022-08-22,6796,0,no_selected_ticker_event_candidate_in_official_openapi_dividend_routes,blocked_no_official_event_candidate,0,False,False,False,False,False,False,False,True,False
