ticker,company_name,source_id,dividend_year_roc,board_resolution_date_roc,shareholder_meeting_date_roc,cash_dividend_earnings_per_share,cash_dividend_capital_reserve_per_share,stock_dividend_earnings_per_share,stock_dividend_capital_reserve_per_share,ex_right_dividend_trading_date_roc,accepted_for_adjustment_factor_contract,future_data_violation_count
2316,楠梓電,twse_t187ap39_L_dividend_distribution,107,1080325,1080618,1.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2316,楠梓電,twse_t187ap39_L_dividend_distribution,108,1090325,1090616,0.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2316,楠梓電,twse_t187ap39_L_dividend_distribution,109,1100325,1100616,1.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2351,順德,twse_t187ap39_L_dividend_distribution,107,1080308,1080621,2.80000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2351,順德,twse_t187ap39_L_dividend_distribution,108,1090306,1090623,1.80000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2351,順德,twse_t187ap39_L_dividend_distribution,109,1100309,1100622,1.80000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2636,台驊投控,twse_t187ap39_L_dividend_distribution,108,1090306,1090527,1.30000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2636,台驊投控,twse_t187ap39_L_dividend_distribution,107,1080326,1080621,2.20000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2636,台驊投控,twse_t187ap39_L_dividend_distribution,109,1100309,1100525,3.20000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3090,日電貿,twse_t187ap39_L_dividend_distribution,107,1080325,1080620,6.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3090,日電貿,twse_t187ap39_L_dividend_distribution,109,1100325,1100622,3.10000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3090,日電貿,twse_t187ap39_L_dividend_distribution,108,1090326,1090622,3.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3346,麗清,twse_t187ap39_L_dividend_distribution,108,1090318,1090630,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
3346,麗清,twse_t187ap39_L_dividend_distribution,109,1100323,1100628,0.16000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3346,麗清,twse_t187ap39_L_dividend_distribution,107,1080312,1080628,1.66000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6573,虹揚-KY,twse_t187ap39_L_dividend_distribution,109,1100322,1100622,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
6573,虹揚-KY,twse_t187ap39_L_dividend_distribution,108,1090320,1090622,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
6573,虹揚-KY,twse_t187ap39_L_dividend_distribution,107,1080322,1080610,0.25000000,,0.25000000,,,partial_candidate_missing_exright_trading_date,0
8163,達方,twse_t187ap39_L_dividend_distribution,107,1080307,1080613,3.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8163,達方,twse_t187ap39_L_dividend_distribution,108,1090316,,2.30000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8163,達方,twse_t187ap39_L_dividend_distribution,109,1100315,,2.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8478,東哥遊艇,twse_t187ap39_L_dividend_distribution,109,1100322,1100628,1.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8478,東哥遊艇,twse_t187ap39_L_dividend_distribution,108,1090323,1090622,0.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8478,東哥遊艇,twse_t187ap39_L_dividend_distribution,107,1080318,1080605,2.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
2316,楠梓電,twse_t187ap40_L_dividend_resolution,109,,1100616,1.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3090,日電貿,twse_t187ap40_L_dividend_resolution,109,,1100622,3.10000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8478,東哥遊艇,twse_t187ap40_L_dividend_resolution,109,,1100628,1.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
1569,濱川,tpex_t187ap39_O_dividend_distribution,108,1090326,1090618,0.30000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
1569,濱川,tpex_t187ap39_O_dividend_distribution,107,1080326,1080625,0.25000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
1569,濱川,tpex_t187ap39_O_dividend_distribution,109,1100325,1100622,1.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3324,雙鴻,tpex_t187ap39_O_dividend_distribution,107,1080315,1080605,1.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3324,雙鴻,tpex_t187ap39_O_dividend_distribution,108,1090317,1090609,5.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
3324,雙鴻,tpex_t187ap39_O_dividend_distribution,109,1100316,1100610,5.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6121,新普,tpex_t187ap39_O_dividend_distribution,107,1080327,1080618,11.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6121,新普,tpex_t187ap39_O_dividend_distribution,108,1090310,1090528,14.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6121,新普,tpex_t187ap39_O_dividend_distribution,109,1100325,1100617,19.10000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6143,振曜,tpex_t187ap39_O_dividend_distribution,108,1090505,1090615,2.80000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6143,振曜,tpex_t187ap39_O_dividend_distribution,109,1100504,,2.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6143,振曜,tpex_t187ap39_O_dividend_distribution,107,1080503,1080613,3.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6150,撼訊,tpex_t187ap39_O_dividend_distribution,108,1090227,1090610,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
6150,撼訊,tpex_t187ap39_O_dividend_distribution,109,1100318,1100610,0.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6150,撼訊,tpex_t187ap39_O_dividend_distribution,107,1080321,1080621,2.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8040,九暘,tpex_t187ap39_O_dividend_distribution,109,1100318,1100618,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
8040,九暘,tpex_t187ap39_O_dividend_distribution,107,1080321,1080613,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
8040,九暘,tpex_t187ap39_O_dividend_distribution,108,1090319,1090615,0.20000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8433,弘帆,tpex_t187ap39_O_dividend_distribution,107,1080329,1080621,3.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8433,弘帆,tpex_t187ap39_O_dividend_distribution,109,1100326,1100625,2.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8433,弘帆,tpex_t187ap39_O_dividend_distribution,108,1090327,1090619,2.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
6150,撼訊,tpex_t187ap40_O_dividend_resolution,109,,1100610,0.50000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
8040,九暘,tpex_t187ap40_O_dividend_resolution,109,,1100618,0.0,,0.0,,,partial_candidate_missing_exright_trading_date,0
8433,弘帆,tpex_t187ap40_O_dividend_resolution,109,,1100625,2.00000000,,0.0,,,partial_candidate_missing_exright_trading_date,0
