form_id,target_period,action,method,params,status,http_code,content_type,date_field_detected,holdings_date,row_count,retrieved_path,error,notes
sitca_in2421_form_1,2014Q4,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""201412""}",http_ok,200,text/html; charset=utf-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2014Q4_sitca_in2421_form_1_0.html,,accepted only if date matches target
sitca_etf_root_no_form,2014Q4,https://www.sitca.org.tw/ROC/ETF/,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""201412""}",http_non_ok,404,text/html,,,0,,,accepted only if date matches target
mops_index_no_form,2014Q4,https://mops.twse.com.tw/mops/web/index,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""201412""}",http_ok,200,text/html;charset=UTF-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2014Q4_mops_index_no_form_2.html,,accepted only if date matches target
sitca_in2421_form_1,2016Q1,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""201603""}",http_ok,200,text/html; charset=utf-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2016Q1_sitca_in2421_form_1_3.html,,accepted only if date matches target
sitca_etf_root_no_form,2016Q1,https://www.sitca.org.tw/ROC/ETF/,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""201603""}",http_non_ok,404,text/html,,,0,,,accepted only if date matches target
mops_index_no_form,2016Q1,https://mops.twse.com.tw/mops/web/index,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""201603""}",http_ok,200,text/html;charset=UTF-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2016Q1_mops_index_no_form_5.html,,accepted only if date matches target
sitca_in2421_form_1,2021Q4,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""202112""}",http_ok,200,text/html; charset=utf-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2021Q4_sitca_in2421_form_1_6.html,,accepted only if date matches target
sitca_etf_root_no_form,2021Q4,https://www.sitca.org.tw/ROC/ETF/,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""202112""}",http_non_ok,404,text/html,,,0,,,accepted only if date matches target
mops_index_no_form,2021Q4,https://mops.twse.com.tw/mops/web/index,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""202112""}",http_ok,200,text/html;charset=UTF-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2021Q4_mops_index_no_form_8.html,,accepted only if date matches target
sitca_in2421_form_1,2023Q4,https://www.sitca.org.tw/ROC/Industry/IN2421.aspx,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""202312""}",http_ok,200,text/html; charset=utf-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2023Q4_sitca_in2421_form_1_9.html,,accepted only if date matches target
sitca_etf_root_no_form,2023Q4,https://www.sitca.org.tw/ROC/ETF/,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""202312""}",http_non_ok,404,text/html,,,0,,,accepted only if date matches target
mops_index_no_form,2023Q4,https://mops.twse.com.tw/mops/web/index,POST,"{""code"": ""0050"", ""fundid"": ""1066"", ""month"": ""202312""}",http_ok,200,text/html;charset=UTF-8,,,0,outputs/radar_tw50_0050_endpoint_post_probe_phase5_201411_202312_20260629/raw_sources/2023Q4_mops_index_no_form_11.html,,accepted only if date matches target
