"ticker","name","market","scope_role","snapshot_date","source_contract"
"1216","統一","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"1402","遠東新","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"1477","聚陽","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"1504","東元","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"1513","中興電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"1605","華新","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2301","光寶科","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2303","聯電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2324","仁寶","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2330","台積電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2347","聯強","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2353","宏碁","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2356","英業達","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2357","華碩","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2369","菱生","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2382","廣達","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2383","台光電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2395","研華","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2404","漢唐","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2412","中華電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2454","聯發科","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2472","立隆電","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2481","強茂","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2484","希華","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2609","陽明","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2610","華航","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2615","萬海","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2618","長榮航","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2801","彰銀","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2834","臺企銀","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2880","華南金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2882","國泰金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2884","玉山金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2885","元大金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2886","兆豐金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2887","台新新光金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2890","永豐金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2891","中信金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2892","第一金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"2912","統一超","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3006","晶豪科","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3008","大立光","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3037","欣興","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3042","晶技","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3044","健鼎","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3045","台灣大","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3189","景碩","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3231","緯創","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3236","千如","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3293","鈊象","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3406","玉晶光","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3443","創意","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3450","聯鈞","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3481","群創","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3706","神達","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"3711","日月光投控","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"4904","遠傳","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"4931","新盛力","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"5289","宜鼎","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"5351","鈺創","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"5425","台半","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"5483","中美晶","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"5880","合庫金","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6005","群益證","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6175","立敦","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6182","合晶","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6197","佳必琪","TWSE","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
"6223","旺矽","TPEx","primary80","2026-06-29","vnext_layer4_80_primary_pool_contract_20260708"
