signal_date,ticker,name,market,year_month,entry_date,exit_date,timing_source,entry_open,entry_close,exit_close,entry_market,exit_market,source_route,source_quality,official_ohlc_path_ready,adjusted_close_ready,adjustment_policy,blocked_reason,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2023-03-17,2330,台積電,TWSE,202303,2023-03-20,2023-03-27,core_handoff_explicit_entry_exit_dates,517.00,512.00,531.00,TWSE,TWSE,twse_rwd_stock_day_selected_ticker_month,official_unadjusted_ohlcv_selected_ticker_month,True,False,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
2026-05-29,2330,台積電,TWSE,202606,2026-06-01,2026-06-08,core_handoff_explicit_entry_exit_dates,2355.00,2355.00,2295.00,TWSE,TWSE,twse_rwd_stock_day_selected_ticker_month,official_unadjusted_ohlcv_selected_ticker_month,True,False,unadjusted_ohlc_only_adjusted_close_blocked_not_fabricated,,0,False,False,False,False,False,False,False,True,False
