ticker,company_name,event_key,high_priority,missing_component,blocked_reason,attempted_source,candidate_rows_found,exact_candidate_count,next_bounded_step,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
1301,台塑,1301|ROC107|P1|C5.8|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,25,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
1301,台塑,1301|ROC108|P1|C4.4|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,33,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
1301,台塑,1301|ROC109|P1|C2.4|S0,False,exact_historical_exdate,no_unique_official_t05st01_detail_exdate_candidate,MOPS t05st01/t05st01_detail bounded candidate-window query,27,2,manual_policy_review_or_alternate_official_exright_archive_route,0,False,False,False,False,False,False,False,True,False
1301,台塑,1301|ROC109|P1|C2.4|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,27,2,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,2316|ROC107|P1|C1|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,20,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,2316|ROC108|P1|C0.5|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,21,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2316,楠梓電,2316|ROC109|P1|C1.5|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,10,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2317,鴻海,2317|ROC107|P1|C4|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,102,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2317,鴻海,2317|ROC108|P1|C4.2|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,90,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2317,鴻海,2317|ROC109|P1|C4|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,135,1,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC107|P1|C8|S0,False,exact_historical_exdate,no_unique_official_t05st01_detail_exdate_candidate,MOPS t05st01/t05st01_detail bounded candidate-window query,222,4,manual_policy_review_or_alternate_official_exright_archive_route,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC107|P1|C8|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,222,4,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC108|P1|C2|S0,False,exact_historical_exdate,no_unique_official_t05st01_detail_exdate_candidate,MOPS t05st01/t05st01_detail bounded candidate-window query,222,4,manual_policy_review_or_alternate_official_exright_archive_route,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC108|P1|C2|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,222,4,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC108|P1|C2.5|S0,True,exact_historical_exdate,no_unique_official_t05st01_detail_exdate_candidate,MOPS t05st01/t05st01_detail bounded candidate-window query,177,3,manual_policy_review_or_alternate_official_exright_archive_route,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC108|P1|C2.5|S0,True,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,177,3,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC109|P1|C2.5|S0,False,exact_historical_exdate,no_unique_official_t05st01_detail_exdate_candidate,MOPS t05st01/t05st01_detail bounded candidate-window query,141,0,manual_policy_review_or_alternate_official_exright_archive_route,0,False,False,False,False,False,False,False,True,False
2330,台積電,2330|ROC109|P1|C2.5|S0,False,cash_payment_date,no_official_payment_date_found_in_bounded_t05st01_detail_candidates,MOPS t05st01/t05st01_detail bounded candidate-window query,141,0,issuer_or_transfer_agent_payment_date_archive_route_if_required,0,False,False,False,False,False,False,False,True,False
