ticker,company_name,event_key,high_priority,cash_dividend_total_per_share_candidate,stock_dividend_total_per_share_candidate,accepted_exact_exdate,accepted_payment_date,accepted_market_available_at,accepted_source_url,accepted_subject,accepted_detail_excerpt,accepted_status,exact_candidate_count,payment_candidate_count,capital_change_candidate_count,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2351,順德,2351|ROC108|P1|C1.8|S0,False,1.8,0.0,2020-07-30,,2020-06-23 12:44:44,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司108年度盈餘分配案決定除息基準日事宜。,"1.董事會、股東會決議或公司決定日期:109/06/23 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:每股配發現金股利1.80元，股利發放總額327,852,448元。 4.除權（息）交易日:109/07/30 5.最後過戶日:109/07/31 6.停止過戶起始日期:109/08/01 7.停止過戶截止日期:109/08/05 8.除權（息）基準日:109/08/05 9.其他應敘明事項: 無。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2351,順德,2351|ROC109|P1|C1.8|S0,True,1.8,0.0,2021-09-16,,2021-08-26 13:52:03,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司109年度盈餘分配案決定除息基準日事宜。,"1.董事會、股東會決議或公司決定日期:110/08/26 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:每股配發現金股利1.8元，股利發放總額327,852,448元。 4.除權（息）交易日:110/09/16 5.最後過戶日:110/09/19 6.停止過戶起始日期:110/09/20 7.停止過戶截止日期:110/09/24 8.除權（息）基準日:110/09/24 9.其他應敘明事項: 無。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2374,佳能,2374|ROC107|P1|C0.5|S0,False,0.5,0.0,2019-08-19,,2019-08-02 16:11:25,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司108年除息基準日相關事宜,"1.董事會、股東會決議或公司決定日期:108/08/02 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:普通股現金股利新台幣141,181,406元，每股配發新台幣0.5元。 4.除權（息）交易日:108/08/19 5.最後過戶日:108/08/20 6.停止過戶起始日期:108/08/21 7.停止過戶截止日期:108/08/25 8.除權（息）基準日:108/08/25 9.其他應敘明事項:現金股利發放日：108年9月17日 ",accepted_unique_exact_exdate_candidate,1,0,1,0,False,False,False,False,False,False,False,True,False
2374,佳能,2374|ROC108|P1|C0.3|S0,False,0.3,0.0,2020-07-27,,2020-07-10 15:56:48,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司109年除息基準日相關事宜,"1.董事會、股東會決議或公司決定日期:109/07/10 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:普通股現金股利新台幣84,708,844元，每股配發新台幣0.3元。 4.除權（息）交易日:109/07/27 5.最後過戶日:109/07/28 6.停止過戶起始日期:109/07/29 7.停止過戶截止日期:109/08/02 8.除權（息）基準日:109/08/02 9.其他應敘明事項:現金股利發放日：109年8月21日 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2388,威盛,2388|ROC109|P1|C0.8|S0,False,0.8,0.0,2021-08-19,,2021-07-20 14:07:13,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司現金股利分配基準日,1.董事會、股東會決議或公司決定日期:110/07/20 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:每股配發現金股利0.8元 4.除權（息）交易日:110/08/19 5.最後過戶日:110/08/21 6.停止過戶起始日期:110/08/22 7.停止過戶截止日期:110/08/26 8.除權（息）基準日:110/08/26 9.其他應敘明事項: (1)現金股利預定於110年9月17日發放 (2)最後過戶日為110年8月21日適逢例假日，故現場過戶請提前至110年8月20日 (星期五)下午5點前，親臨本公司股務代理機構「中國信託商業銀行股份有限公司 代理部」(台北市中正區重慶南路一段83號5樓)，辦理過戶手續。 (3)如嗣後因股本變動，以致影響流通在外股份數量，股東配息率因此發生變動者， 授權董事長調整。 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2412,中華電,2412|ROC107|P1|C4.479|S0,False,4.479,0.0,2019-07-25,,2019-06-22 00:07:50,https://mops.twse.com.tw/mops/#/web/t05st01,公告股利配發基準日,1.董事會、股東會決議或公司決定日期:108/06/21 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:盈餘派息每股分配現金股利新台幣4.479元。 4.除權（息）交易日:108/07/25 5.最後過戶日:108/07/26 6.停止過戶起始日期:108/07/27 7.停止過戶截止日期:108/07/31 8.除權（息）基準日:108/07/31 9.其他應敘明事項:現金股利預計於民國108年8月28日發放。 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2412,中華電,2412|ROC108|P1|C4.226|S0,False,4.226,0.0,2020-07-02,,2020-06-08 16:59:47,https://mops.twse.com.tw/mops/#/web/t05st01,公告股利配發基準日,1.董事會、股東會決議或公司決定日期: 109/06/08 2.除權、息類別（請填入「除權」、「除息」或「除權息」）: 除息 3.發放股利種類及金額: 盈餘派息每股分配現金股利新台幣4.226元。 4.除權（息）交易日: 109/07/02 5.最後過戶日: 109/07/03 6.停止過戶起始日期: 109/07/04 7.停止過戶截止日期: 109/07/08 8.除權（息）基準日: 109/07/08 9.其他應敘明事項: 現金股利預計於民國109年8月6日發放。 ,accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2412,中華電,2412|ROC109|P1|C4.306|S0,False,4.306,0.0,,,,,,,blocked_multiple_exact_candidates,2,0,0,0,False,False,False,False,False,False,False,True,False
2453,凌群,2453|ROC107|P1|C0.5|S0,False,0.5,0.0,2019-07-05,,2019-06-13 14:59:18,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議現金股利除息基準日,"1.董事會、股東會決議或公司決定日期:108/06/13 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:現金股利新台幣50,000,000元(每股0.5元) 4.除權（息）交易日:108/07/05 5.最後過戶日:108/07/08 6.停止過戶起始日期:108/07/09 7.停止過戶截止日期:108/07/13 8.除權（息）基準日:108/07/13 9.其他應敘明事項:現金股利發放日訂於108年8月9日。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
2453,凌群,2453|ROC108|P1|C1|S0,False,1.0,0.0,2020-07-07,,2020-06-12 15:36:06,https://mops.twse.com.tw/mops/#/web/t05st01,公告本公司董事會決議現金股利除息基準日,"1.董事會、股東會決議或公司決定日期:109/06/12 2.除權、息類別（請填入「除權」、「除息」或「除權息」）:除息 3.發放股利種類及金額:現金股利新台幣100,000,000元(每股1元) 4.除權（息）交易日:109/07/07 5.最後過戶日:109/07/08 6.停止過戶起始日期:109/07/09 7.停止過戶截止日期:109/07/13 8.除權（息）基準日:109/07/13 9.其他應敘明事項:現金股利發放日訂於109年8月7日。 ",accepted_unique_exact_exdate_candidate,1,0,0,0,False,False,False,False,False,False,False,True,False
