route,payload,payload_hash,raw_cache_path,response_hash,route_status,route_error,retry_count,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""06"", ""year"": ""108""}",0945c876ec8e3cca1901cf318cca4a43cc83889647f2c3092d45c4892355ec09,raw_cache\1301_ROC107_P1_C5.8_S0_108_06_list.json,d6f895068756cf8a836f147593893616a9c31062d05eb4fd7c40884cec20ce17,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1080606"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",1ea55c94280bd247de4533156d75daa42feca0c5286e0a2ae6a57cd63f7e6f2f,raw_cache\1301_ROC107_P1_C5.8_S0_108_06_0_detail.json,078848d32c7e5b5f202d70166e4614842d8250b293ca75e9102eaadd8737493a,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1080611"", ""marketKind"": ""sii"", ""serialNumber"": ""2""}",4d4d68f15b8c236b30d0ba2e96c5d4e561bb9df40cfee327cb17e559fbfcb785,raw_cache\1301_ROC107_P1_C5.8_S0_108_06_3_detail.json,62f4f400ab8b86253710d81ade225382b2b417347a3f8ef0a325f0f64dbc6336,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""07"", ""year"": ""108""}",a1c6786939d45a5f9bc19272cc6213d6f589908902d252ccc6ae374e223be739,raw_cache\1301_ROC107_P1_C5.8_S0_108_07_list.json,dfab15be04e603268333b1976ef56dba5d5e976c17d898933b24e96ed76ddbaa,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1080710"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",87ffd32c8c95d8065ea7051fd1905a1db8bd2d1db98d569916797681fbec546d,raw_cache\1301_ROC107_P1_C5.8_S0_108_07_1_detail.json,7adfb4abd00fb9a4b81415fa695dd98fb5decf371f6041f86ee0da251b303b98,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1080710"", ""marketKind"": ""sii"", ""serialNumber"": ""3""}",e99fdb9698ef7441d8ea7fcd050229a2a74642398bcdb99e95e0722c96220fb6,raw_cache\1301_ROC107_P1_C5.8_S0_108_07_2_detail.json,6634ed95be49931271fc6114975241803ec3eeab66fef133f52e797e0ee5d82e,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""08"", ""year"": ""108""}",7e12a59d8d401563acc32405539e39e9c0453f670be389a7f24783ec85748384,raw_cache\1301_ROC107_P1_C5.8_S0_108_08_list.json,ef7a10eee41d90fa52a0d3fb320e466dfd22ba4b97c870771c26a540862dd840,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1080806"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",ea6b30f7c9691513345844086c93b74101016ffcdf47251318df0e632463b62f,raw_cache\1301_ROC107_P1_C5.8_S0_108_08_0_detail.json,45cd4f258083cc23ba3158c39c3a74e73129633ab040f62d55cf5bd601436e88,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""09"", ""year"": ""108""}",ffbc2c72ce4f300529f0a6f2ef4bf0f5ffb9a74e8e95874476ddad31dd2ee897,raw_cache\1301_ROC107_P1_C5.8_S0_108_09_list.json,5a56f1773ae67d2dbbbb109366bcb92451b2d974e36144797fe07cce3b59b758,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1080906"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",7b13bad5ace6f72e51053fc76430ab53d9a9a98339c220209c745be6ffcd7fd9,raw_cache\1301_ROC107_P1_C5.8_S0_108_09_0_detail.json,e1d8c100d59fabe3e3b90500c0652a7ae78e987408be05e09de5e7301dbef569,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""10"", ""year"": ""108""}",2d3a2e2a5771c04b7454ea3c4c9962d932839c6091b7b20f584920b7a01b79d0,raw_cache\1301_ROC107_P1_C5.8_S0_108_10_list.json,f699fa1a3ec6bcc9d1d5698e737ad6f84506a516bcd6ebc3f3a9b64ee75a95b3,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1081008"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",88a202692824c8bb8e810ce41ef5fb1f649ac1ebf698eea7fe6a4d5ac5c03519,raw_cache\1301_ROC107_P1_C5.8_S0_108_10_0_detail.json,66cc8fa29705514f73bf4fc5d5b1ffc172b5ff7848bd6eba0bea7e521113bf95,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1081008"", ""marketKind"": ""sii"", ""serialNumber"": ""2""}",7779595ac6c0fc2afbbc935a2bc95e70a5a58183faba17a9a009ee1f9cb7a17a,raw_cache\1301_ROC107_P1_C5.8_S0_108_10_1_detail.json,275b76a7e1f8da2eaf720e631e5c9d8965209ee3178e026d8a34111817ad8bb4,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""11"", ""year"": ""108""}",0cf10cc5ababb53dd570f02998de6e0a0fe332a533fcc755cf200f03623aaf37,raw_cache\1301_ROC107_P1_C5.8_S0_108_11_list.json,7a3e463a565322117dc2f2a07ffbaac40a728978883eb335cd09df52b1e008d6,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1081105"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",1fc02d7714c7e7fb4c00a7eb932d7bf10e63117742a8fb23612f43b910f370f7,raw_cache\1301_ROC107_P1_C5.8_S0_108_11_0_detail.json,534ae6ae98042db6bc227e623caa472c48eddf4caf268376f81627998faa4106,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""12"", ""year"": ""108""}",6c28d1960a33900330ecb9fcbaf1bf10cf933ea7863056f581483962fb93ca77,raw_cache\1301_ROC107_P1_C5.8_S0_108_12_list.json,a171877c74a0f141984cbf1b197427d9d16cc76a3f8b7c5413e9c785263bfe12,cache_hit,,0,2026-07-10T08:13:28+00:00,0,False,False,False,False,False,False,False,True,False
