ticker,company_name,event_key,stock_dividend_total_per_share_candidate,share_adjustment_effective_date,trading_resumption_date,source_status,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2615,萬海,2615|ROC109|P1|C1|S1,1.0,,,blocked_no_new_share_effective_or_tradable_date,0,False,False,False,False,False,False,False,True,False
6573,虹揚-KY,6573|ROC107|P1|C0.25|S0.25,0.25,,,blocked_no_new_share_effective_or_tradable_date,0,False,False,False,False,False,False,False,True,False
