field,required
date,true
symbol,true
ticker,true
name,true
exchange,true
listed_date,true
delisted_date,true
is_listed_on_date,true
is_suspended,true
close,true
volume,true
turnover_twd,true
avg_turnover_20d_twd,true
avg_volume_20d,true
liquidity_pass,true
exclusion_reason,true
source_type,true
formal_exact,true
proxy,true
validation_decision,true
notes,true
