ticker,name,market,event_type,event_date,source_date,source_url,source_type,formal_ready,raw_source_id,notes
7402,邑錡,TPEx,listing,2015-12-29,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4762,F-三汰,TPEx,listing,2015-12-28,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
2740,天蔥,TPEx,listing,2015-12-24,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6462,神盾,TPEx,listing,2015-12-23,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4556,旭然,TPEx,listing,2015-12-22,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4116,明基醫,TPEx,listing,2015-12-16,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4803,F-VHQ,TPEx,listing,2015-12-16,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4804,F-大略,TPEx,listing,2015-12-04,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6514,F-芮特,TPEx,listing,2015-12-02,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4147,中裕,TPEx,listing,2015-11-23,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6465,威潤,TPEx,listing,2015-11-20,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6485,點序,TPEx,listing,2015-11-17,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6470,宇智,TPEx,listing,2015-11-03,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
8444,F-綠河,TPEx,listing,2015-10-27,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6417,韋僑,TPEx,listing,2015-10-08,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6488,環球晶,TPEx,listing,2015-09-25,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4167,展旺,TPEx,listing,2015-09-08,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
3081,聯亞,TPEx,listing,2015-07-22,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6457,紘康,TPEx,listing,2015-06-12,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
8027,鈦昇科技,TPEx,listing,2015-06-09,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
5245,智晶,TPEx,listing,2015-05-25,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
6432,今展科,TPEx,listing,2015-05-20,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
3492,長盛,TPEx,listing,2015-05-18,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
8437,F-大地,TPEx,listing,2015-05-06,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
3672,康聯訊,TPEx,listing,2015-04-20,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
1264,德麥,TPEx,listing,2015-04-09,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
3374,精材,TPEx,listing,2015-03-30,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
8431,匯鑽科,TPEx,listing,2015-03-30,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4188,安克,TPEx,listing,2015-03-24,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4174,浩鼎,TPEx,listing,2015-03-23,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
4550,長佳,TPEx,listing,2015-03-18,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
3122,笙泉,TPEx,listing,2015-01-26,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
2732,六角,TPEx,listing,2015-01-20,2015-12-31,https://www.tpex.org.tw/www/zh-tw/company/latest,official_historical_api,true,listing_2015,TPEx company/latest full-year query.
