snapshot_date,official_full_market_rows,markets,positive_turnover_candidates,core_top250_rows,status
2026-07-02,1949,TPEx|TWSE,1949,250,ready
2026-07-09,1955,TPEx|TWSE,1955,250,ready
2026-07-16,1951,TPEx|TWSE,1951,250,ready
