date,market,route_status,required_tickers,ready_tickers,blocked_tickers,retrieval_attempted,source_url,source_hash
2023-04-18,TPEx,reused_existing_compact,25,25,0,False,local_compact,
2023-04-18,TWSE,reused_existing_compact,55,55,0,False,local_compact,
2023-04-19,TPEx,reused_existing_compact,25,25,0,False,local_compact,
2023-04-19,TWSE,reused_existing_compact,55,55,0,False,local_compact,
2023-04-20,TPEx,reused_existing_compact,25,25,0,False,local_compact,
2023-04-20,TWSE,reused_existing_compact,55,55,0,False,local_compact,
2023-04-21,TPEx,reused_existing_compact,25,25,0,False,local_compact,
2023-04-21,TWSE,reused_existing_compact,55,55,0,False,local_compact,
2023-04-24,TPEx,reused_existing_compact,25,25,0,False,local_compact,
2023-04-24,TWSE,reused_existing_compact,55,55,0,False,local_compact,
2023-04-25,TPEx,reused_existing_compact,35,35,0,False,local_compact,
2023-04-25,TWSE,reused_existing_compact,78,78,0,False,local_compact,
2023-04-26,TPEx,reused_existing_compact,35,35,0,False,local_compact,
2023-04-26,TWSE,reused_existing_compact,78,78,0,False,local_compact,
2023-04-27,TPEx,reused_existing_compact,35,35,0,False,local_compact,
2023-04-27,TWSE,reused_existing_compact,78,78,0,False,local_compact,
2023-04-28,TPEx,reused_existing_compact,35,35,0,False,local_compact,
2023-04-28,TWSE,reused_existing_compact,78,78,0,False,local_compact,
2023-05-02,TPEx,reused_existing_compact,35,35,0,False,local_compact,
2023-05-02,TWSE,reused_existing_compact,78,78,0,False,local_compact,
2023-05-03,TPEx,reused_existing_compact,40,40,0,False,local_compact,
2023-05-03,TWSE,reused_existing_compact,96,96,0,False,local_compact,
2023-05-04,TPEx,reused_existing_compact,40,40,0,False,local_compact,
2023-05-04,TWSE,reused_existing_compact,96,96,0,False,local_compact,
2023-05-05,TPEx,reused_existing_compact,40,40,0,False,local_compact,
2023-05-05,TWSE,reused_existing_compact,96,96,0,False,local_compact,
2023-05-08,TPEx,reused_existing_compact,40,40,0,False,local_compact,
2023-05-08,TWSE,reused_existing_compact,96,96,0,False,local_compact,
2023-05-09,TPEx,reused_existing_compact,45,45,0,False,local_compact,
2023-05-09,TWSE,reused_existing_compact,113,113,0,False,local_compact,
2023-05-10,TPEx,reused_existing_compact,45,45,0,False,local_compact,
2023-05-10,TWSE,reused_existing_compact,113,113,0,False,local_compact,
2023-05-11,TPEx,reused_existing_compact,45,45,0,False,local_compact,
2023-05-11,TWSE,reused_existing_compact,113,113,0,False,local_compact,
2023-05-12,TPEx,reused_existing_compact,45,45,0,False,local_compact,
2023-05-12,TWSE,reused_existing_compact,113,113,0,False,local_compact,
2023-05-15,TPEx,reused_existing_compact,45,45,0,False,local_compact,
2023-05-15,TWSE,reused_existing_compact,113,113,0,False,local_compact,
2023-05-16,TPEx,reused_existing_compact,50,50,0,False,local_compact,
2023-05-16,TWSE,reused_existing_compact,139,139,0,False,local_compact,
2023-05-17,TPEx,reused_existing_compact,50,50,0,False,local_compact,
2023-05-17,TWSE,reused_existing_compact,139,139,0,False,local_compact,
2023-05-18,TPEx,reused_existing_compact,50,50,0,False,local_compact,
2023-05-18,TWSE,reused_existing_compact,139,139,0,False,local_compact,
2023-05-19,TPEx,reused_existing_compact,50,50,0,False,local_compact,
2023-05-19,TWSE,reused_existing_compact,139,139,0,False,local_compact,
2023-05-22,TPEx,reused_existing_compact,50,50,0,False,local_compact,
2023-05-22,TWSE,reused_existing_compact,139,139,0,False,local_compact,
2023-05-23,TPEx,reused_existing_compact,56,56,0,False,local_compact,
2023-05-23,TWSE,reused_existing_compact,152,152,0,False,local_compact,
2023-05-24,TPEx,reused_existing_compact,56,56,0,False,local_compact,
2023-05-24,TWSE,reused_existing_compact,152,152,0,False,local_compact,
2023-05-25,TPEx,reused_existing_compact,56,56,0,False,local_compact,
2023-05-25,TWSE,reused_existing_compact,152,152,0,False,local_compact,
2023-05-26,TPEx,reused_existing_compact,56,56,0,False,local_compact,
2023-05-26,TWSE,reused_existing_compact,152,152,0,False,local_compact,
2023-05-29,TPEx,reused_existing_compact,56,56,0,False,local_compact,
2023-05-29,TWSE,accepted,152,139,13,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-30,TPEx,reused_existing_compact,61,61,0,False,local_compact,
2023-05-30,TWSE,reused_existing_compact,171,171,0,False,local_compact,
2023-05-31,TPEx,reused_existing_compact,61,61,0,False,local_compact,
2023-05-31,TWSE,reused_existing_compact,171,171,0,False,local_compact,
2023-06-01,TPEx,reused_existing_compact,61,61,0,False,local_compact,
2023-06-01,TWSE,reused_existing_compact,171,171,0,False,local_compact,
2023-06-02,TPEx,reused_existing_compact,61,61,0,False,local_compact,
2023-06-02,TWSE,reused_existing_compact,171,171,0,False,local_compact,
2023-06-05,TPEx,reused_existing_compact,61,61,0,False,local_compact,
2023-06-05,TWSE,reused_existing_compact,171,171,0,False,local_compact,
2023-06-06,TPEx,reused_existing_compact,65,65,0,False,local_compact,
2023-06-06,TWSE,reused_existing_compact,177,177,0,False,local_compact,
2023-06-07,TPEx,reused_existing_compact,65,65,0,False,local_compact,
2023-06-07,TWSE,reused_existing_compact,177,177,0,False,local_compact,
2023-06-08,TPEx,reused_existing_compact,65,65,0,False,local_compact,
2023-06-08,TWSE,reused_existing_compact,177,177,0,False,local_compact,
2023-06-09,TPEx,reused_existing_compact,65,65,0,False,local_compact,
2023-06-09,TWSE,reused_existing_compact,177,177,0,False,local_compact,
2023-06-12,TPEx,reused_existing_compact,65,65,0,False,local_compact,
2023-06-12,TWSE,reused_existing_compact,177,177,0,False,local_compact,
2023-06-13,TPEx,reused_existing_compact,67,67,0,False,local_compact,
2023-06-13,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-06-14,TPEx,reused_existing_compact,67,67,0,False,local_compact,
2023-06-14,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-06-15,TPEx,reused_existing_compact,67,67,0,False,local_compact,
2023-06-15,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-06-16,TPEx,reused_existing_compact,67,67,0,False,local_compact,
2023-06-16,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-06-19,TPEx,reused_existing_compact,67,67,0,False,local_compact,
2023-06-19,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-06-20,TPEx,reused_existing_compact,77,77,0,False,local_compact,
2023-06-20,TWSE,reused_existing_compact,199,199,0,False,local_compact,
2023-06-21,TPEx,reused_existing_compact,77,77,0,False,local_compact,
2023-06-21,TWSE,reused_existing_compact,199,199,0,False,local_compact,
2023-06-26,TPEx,reused_existing_compact,77,77,0,False,local_compact,
2023-06-26,TWSE,reused_existing_compact,199,199,0,False,local_compact,
2023-06-27,TPEx,reused_existing_compact,77,77,0,False,local_compact,
2023-06-27,TWSE,reused_existing_compact,199,199,0,False,local_compact,
2023-06-28,TPEx,reused_existing_compact,77,77,0,False,local_compact,
2023-06-28,TWSE,reused_existing_compact,199,199,0,False,local_compact,
2023-06-29,TPEx,reused_existing_compact,78,78,0,False,local_compact,
2023-06-29,TWSE,reused_existing_compact,209,209,0,False,local_compact,
2023-06-30,TPEx,reused_existing_compact,78,78,0,False,local_compact,
2023-06-30,TWSE,reused_existing_compact,209,209,0,False,local_compact,
2023-07-03,TPEx,reused_existing_compact,78,78,0,False,local_compact,
2023-07-03,TWSE,reused_existing_compact,209,209,0,False,local_compact,
2023-07-04,TPEx,reused_existing_compact,78,78,0,False,local_compact,
2023-07-04,TWSE,accepted,209,0,209,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230704&type=ALLBUT0999&response=json,e6545cf52ef44beddd2b69712e3a63cf2df83484234244facc2ae2921b2088b7
2023-07-05,TPEx,reused_existing_compact,79,79,0,False,local_compact,
2023-07-05,TWSE,reused_existing_compact,213,213,0,False,local_compact,
2023-07-06,TPEx,reused_existing_compact,79,79,0,False,local_compact,
2023-07-06,TWSE,accepted,213,0,213,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230706&type=ALLBUT0999&response=json,597d93e4579e9d5ae572a8dd813b165141dc8461da6069c72cd4c21545b67868
2023-07-07,TPEx,reused_existing_compact,79,79,0,False,local_compact,
2023-07-07,TWSE,accepted,213,0,213,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230707&type=ALLBUT0999&response=json,136f968f1544736195b1c8d98fc527f4cafd0a470ed8663ddbc156b1f176857b
2023-07-10,TPEx,reused_existing_compact,79,79,0,False,local_compact,
2023-07-10,TWSE,reused_existing_compact,213,213,0,False,local_compact,
2023-07-11,TPEx,reused_existing_compact,79,79,0,False,local_compact,
2023-07-11,TWSE,reused_existing_compact,213,213,0,False,local_compact,
2023-07-12,TPEx,reused_existing_compact,82,82,0,False,local_compact,
2023-07-12,TWSE,reused_existing_compact,221,221,0,False,local_compact,
2023-07-13,TPEx,reused_existing_compact,82,82,0,False,local_compact,
2023-07-13,TWSE,reused_existing_compact,221,221,0,False,local_compact,
2023-07-14,TPEx,reused_existing_compact,72,72,0,False,local_compact,
2023-07-14,TWSE,reused_existing_compact,209,209,0,False,local_compact,
2023-07-17,TPEx,reused_existing_compact,75,75,0,False,local_compact,
2023-07-17,TWSE,reused_existing_compact,211,211,0,False,local_compact,
2023-07-18,TPEx,reused_existing_compact,75,75,0,False,local_compact,
2023-07-18,TWSE,reused_existing_compact,211,211,0,False,local_compact,
2023-07-19,TPEx,reused_existing_compact,75,75,0,False,local_compact,
2023-07-19,TWSE,reused_existing_compact,211,211,0,False,local_compact,
2023-07-20,TPEx,reused_existing_compact,75,75,0,False,local_compact,
2023-07-20,TWSE,reused_existing_compact,211,211,0,False,local_compact,
2023-07-21,TPEx,reused_existing_compact,70,70,0,False,local_compact,
2023-07-21,TWSE,reused_existing_compact,203,203,0,False,local_compact,
2023-07-24,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-07-24,TWSE,reused_existing_compact,208,208,0,False,local_compact,
2023-07-25,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-07-25,TWSE,reused_existing_compact,208,208,0,False,local_compact,
2023-07-26,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-07-26,TWSE,reused_existing_compact,208,208,0,False,local_compact,
2023-07-27,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-07-27,TWSE,reused_existing_compact,208,208,0,False,local_compact,
2023-07-28,TPEx,reused_existing_compact,69,69,0,False,local_compact,
2023-07-28,TWSE,reused_existing_compact,199,199,0,False,local_compact,
2023-07-31,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-07-31,TWSE,reused_existing_compact,201,201,0,False,local_compact,
2023-08-01,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-08-01,TWSE,reused_existing_compact,201,201,0,False,local_compact,
2023-08-02,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-08-02,TWSE,reused_existing_compact,201,201,0,False,local_compact,
2023-08-04,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-04,TWSE,reused_existing_compact,194,194,0,False,local_compact,
2023-08-07,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-07,TWSE,reused_existing_compact,194,194,0,False,local_compact,
2023-08-08,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-08-08,TWSE,reused_existing_compact,197,197,0,False,local_compact,
2023-08-09,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-08-09,TWSE,reused_existing_compact,197,197,0,False,local_compact,
2023-08-10,TPEx,reused_existing_compact,71,71,0,False,local_compact,
2023-08-10,TWSE,reused_existing_compact,197,197,0,False,local_compact,
2023-08-11,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-11,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-08-14,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-14,TWSE,reused_existing_compact,186,186,0,False,local_compact,
2023-08-15,TPEx,reused_existing_compact,70,70,0,False,local_compact,
2023-08-15,TWSE,reused_existing_compact,198,198,0,False,local_compact,
2023-08-16,TPEx,reused_existing_compact,70,70,0,False,local_compact,
2023-08-16,TWSE,reused_existing_compact,198,198,0,False,local_compact,
2023-08-17,TPEx,reused_existing_compact,70,70,0,False,local_compact,
2023-08-17,TWSE,reused_existing_compact,198,198,0,False,local_compact,
2023-08-18,TPEx,reused_existing_compact,66,66,0,False,local_compact,
2023-08-18,TWSE,reused_existing_compact,194,194,0,False,local_compact,
2023-08-21,TPEx,reused_existing_compact,66,66,0,False,local_compact,
2023-08-21,TWSE,reused_existing_compact,194,194,0,False,local_compact,
2023-08-22,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-22,TWSE,accepted,199,198,1,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230822&type=ALLBUT0999&response=json,22da8860478bafe5b73685d286db2e18570030837dcf401036fe986512028f6e
2023-08-23,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-23,TWSE,accepted,199,198,1,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230823&type=ALLBUT0999&response=json,6e0952db7151ca6518d19c5e5304e606753b60474669313e45941c1832cc565b
2023-08-24,TPEx,reused_existing_compact,68,68,0,False,local_compact,
2023-08-24,TWSE,accepted,199,198,1,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230824&type=ALLBUT0999&response=json,ab3cb6f8e447feb502d5d96ff438220f2adbf723c268e3bb935905b89bd08044
2023-08-25,TPEx,reused_existing_compact,64,64,0,False,local_compact,
2023-08-25,TWSE,accepted,186,185,1,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230825&type=ALLBUT0999&response=json,dcf48a7d604c8993478d4a68866daf0db5516eb9214e3d3ea3c97939139ee7d9
2023-08-28,TPEx,reused_existing_compact,64,64,0,False,local_compact,
2023-08-28,TWSE,accepted,186,185,1,True,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230828&type=ALLBUT0999&response=json,632b2a07fdfbaf1edcc32facba8b44db775c9f492de42f08a818819a9f7d8a08
2023-08-29,TPEx,reused_existing_compact,67,67,0,False,local_compact,
