date,ticker,name,market,required_by_segment_start,requirement,classification,blocked_reason,route_status,source_url,source_hash
2023-05-29,2211,長榮鋼,TWSE,2023-08-11,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,2645,長榮航太,TWSE,2023-08-11,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,3711,日月光投控,TWSE,2023-07-28,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,3715,定穎投控,TWSE,2023-08-18,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,4566,時碩工業,TWSE,2023-07-21,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,4967,十銓,TWSE,2023-07-14,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,5222,全訊,TWSE,2023-08-18,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,6515,穎崴,TWSE,2023-07-21,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,6669,緯穎,TWSE,2023-08-04,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,6672,騰輝電子-KY,TWSE,2023-08-11,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
2023-05-29,6789,采鈺,TWSE,2023-07-14,official_raw_hlc_pre_segment_60td_warmup,official_zero_or_not_applicable,official market file accepted but exact ticker row absent; suspended/no-trade/not-applicable; no neighbor substitution,accepted,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20230529&type=ALLBUT0999&response=json,0a46b4e4b9ad0496027e01ae1036f233f225aa17a32a70d681962e1da2773e48
