ticker,date,original_classification,local_raw_HLC_ready_before,local_factor_ready_before,future_data_violation_count,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,remaining_classification,blocked_reason,official_route_outcome,official_source_url,official_source_hash,raw_available,factor_available,direct_adjusted_available,raw_used_as_adjusted,successor_mapping_used,silent_fill_used
2070,2023-10-03,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_no_exact_row_suspension_or_not_applicable_policy_blocked,official month response valid but target date absent; listing/suspension entitlement not uniquely proven,valid_official_response_no_exact_target_row,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F10%2F01&response=json,359bd44b4ed673291bd2ea94bfbc8a251a1a8f3bc1808fbbbb53c31406af3599,False,True,False,False,False,False
2070,2023-10-18,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_no_exact_row_suspension_or_not_applicable_policy_blocked,official month response valid but target date absent; listing/suspension entitlement not uniquely proven,valid_official_response_no_exact_target_row,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F10%2F01&response=json,359bd44b4ed673291bd2ea94bfbc8a251a1a8f3bc1808fbbbb53c31406af3599,False,True,False,False,False,False
2070,2023-10-19,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_no_exact_row_suspension_or_not_applicable_policy_blocked,official month response valid but target date absent; listing/suspension entitlement not uniquely proven,valid_official_response_no_exact_target_row,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F10%2F01&response=json,359bd44b4ed673291bd2ea94bfbc8a251a1a8f3bc1808fbbbb53c31406af3599,False,True,False,False,False,False
2070,2023-10-26,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_no_exact_row_suspension_or_not_applicable_policy_blocked,official month response valid but target date absent; listing/suspension entitlement not uniquely proven,valid_official_response_no_exact_target_row,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F10%2F01&response=json,359bd44b4ed673291bd2ea94bfbc8a251a1a8f3bc1808fbbbb53c31406af3599,False,True,False,False,False,False
2070,2023-11-13,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_no_exact_row_suspension_or_not_applicable_policy_blocked,official month response valid but target date absent; listing/suspension entitlement not uniquely proven,valid_official_response_no_exact_target_row,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F11%2F01&response=json,3202555c1c32b93acf0e5ee5fb8c905e17c1166d54425c972a036cc2a2590fff,False,True,False,False,False,False
2070,2023-09-13,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_raw_source_gap,,accepted_exact_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F09%2F01&response=json,5786ae33733138ad99e4baa96acb214b3625ee0d45fcd057cbe317e190410ecd,False,True,False,False,False,False
2070,2023-09-19,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_raw_source_gap,,accepted_exact_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F09%2F01&response=json,5786ae33733138ad99e4baa96acb214b3625ee0d45fcd057cbe317e190410ecd,False,True,False,False,False,False
2070,2023-09-21,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_raw_source_gap,,accepted_exact_rows,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2070&date=2023%2F09%2F01&response=json,5786ae33733138ad99e4baa96acb214b3625ee0d45fcd057cbe317e190410ecd,False,True,False,False,False,False
2489,2023-09-27,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_raw_source_gap,,accepted_exact_rows,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20230901&stockNo=2489,2f22e43a6dc29b2c8b91a72eedeb1aa62fe2202d73983fc9de168fa5a85c3467,False,True,False,False,False,False
2489,2023-09-28,raw_true_gap,False,True,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,official_raw_source_gap,,accepted_exact_rows,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20230901&stockNo=2489,2f22e43a6dc29b2c8b91a72eedeb1aa62fe2202d73983fc9de168fa5a85c3467,False,True,False,False,False,False
