family,required_rows,filled_rows,blocked_rows,official_no_trade_rows,ready_share,future_data_violation_count
adjusted_analysis_close,49009,40113,8896,0,0.8184823195739558,0
official_raw_execution_close,7362,7345,8,9,0.997690844879109,0
