date,ticker,code,name,market,open,high,low,close,volume,turnover_value,adjusted_close,adjusted_close_available,source_date,as_of_date,source_url,source_route,source_type,formal_exact
2026-07-01,6669.TW,6669,緯穎,TWSE,4740.00,5050.00,4655.00,5035.00,2872601,14158093790,,false,2026-07-01,2026-07-01,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=6669,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-02,6669.TW,6669,緯穎,TWSE,4905.00,5200.00,4865.00,5200.00,2817565,14269535045,,false,2026-07-02,2026-07-02,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=6669,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-03,6669.TW,6669,緯穎,TWSE,5180.00,5280.00,5110.00,5265.00,1563793,8164714390,,false,2026-07-03,2026-07-03,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=6669,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-01,2308.TW,2308,台達電,TWSE,2020.00,2020.00,1965.00,1990.00,8753015,17529889380,,false,2026-07-01,2026-07-01,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=2308,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-02,2308.TW,2308,台達電,TWSE,1955.00,2010.00,1920.00,1970.00,6939618,13739120390,,false,2026-07-02,2026-07-02,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=2308,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-03,2308.TW,2308,台達電,TWSE,1920.00,2075.00,1885.00,2075.00,15207642,30584631650,,false,2026-07-03,2026-07-03,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=2308,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-01,2317.TW,2317,鴻海,TWSE,255.00,255.50,248.00,248.00,65880617,16492926865,,false,2026-07-01,2026-07-01,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=2317,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-02,2317.TW,2317,鴻海,TWSE,239.00,243.00,238.00,239.00,67897136,16295091341,,false,2026-07-02,2026-07-02,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=2317,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-03,2317.TW,2317,鴻海,TWSE,237.00,241.00,236.00,240.50,51008242,12190174057,,false,2026-07-03,2026-07-03,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=2317,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-01,0050.TW,0050,元大台灣50,TWSE,109.80,109.95,108.60,109.35,76131395,8327320323,,false,2026-07-01,2026-07-01,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=0050,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-02,0050.TW,0050,元大台灣50,TWSE,107.20,108.95,106.90,108.80,73421155,7929812970,,false,2026-07-02,2026-07-02,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=0050,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-03,0050.TW,0050,元大台灣50,TWSE,106.15,108.80,106.10,108.35,82436126,8857083457,,false,2026-07-03,2026-07-03,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=0050,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-01,00631L.TW,00631L,元大台灣50正2,TWSE,39.95,40.09,38.91,39.48,285176366,11242894804,,false,2026-07-01,2026-07-01,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=00631L,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-02,00631L.TW,00631L,元大台灣50正2,TWSE,37.83,39.03,37.70,38.88,263558669,10115514214,,false,2026-07-02,2026-07-02,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=00631L,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
2026-07-03,00631L.TW,00631L,元大台灣50正2,TWSE,37.53,39.05,37.19,38.80,264692695,10062239734,,false,2026-07-03,2026-07-03,https://www.twse.com.tw/exchangeReport/STOCK_DAY?response=json&date=20260701&stockNo=00631L,TWSE_STOCK_DAY,official_twse_unadjusted_ohlcv,false
