date,open,high,low,close,adj_close,volume,dividend,stock_split
2014-11-28,37.7,38.0,37.5,37.55,,20139948,0.0,0.0
2014-12-01,36.3,37.95,36.25,37.45,,22274400,0.0,0.0
2014-12-02,37.45,37.5,36.25,36.3,,24076878,0.0,0.0
2014-12-03,36.4,37.15,36.4,37.05,,17601849,0.0,0.0
2014-12-04,37.15,38.0,37.15,37.9,,23693681,0.0,0.0
2014-12-05,37.2,38.2,37.2,38.0,,19347838,0.0,0.0
2014-12-08,38.1,39.5,37.6,38.9,,33091571,0.0,0.0
2014-12-09,39.0,39.1,38.6,38.7,,25153927,0.0,0.0
2014-12-10,38.0,38.1,36.7,37.0,,38637666,0.0,0.0
2014-12-11,36.5,37.45,36.35,36.8,,22672706,0.0,0.0
2014-12-12,37.3,38.0,37.0,38.0,,23373937,0.0,0.0
2014-12-15,38.0,38.0,37.3,37.65,,14934745,0.0,0.0
2014-12-16,38.2,38.55,37.35,37.35,,19945031,0.0,0.0
2014-12-17,37.95,37.95,36.5,36.5,,24887190,0.0,0.0
2014-12-18,37.45,38.2,37.25,38.15,,42992430,0.0,0.0
2014-12-19,39.0,39.45,38.35,38.7,,41915664,0.0,0.0
2014-12-22,39.0,39.2,38.85,39.1,,25245005,0.0,0.0
2014-12-23,39.35,39.5,37.95,38.0,,29846338,0.0,0.0
2014-12-24,38.0,38.0,37.5,38.0,,24252594,0.0,0.0
2014-12-25,37.95,38.2,37.7,37.8,,6108771,0.0,0.0
2014-12-26,37.8,37.95,37.5,37.7,,7890418,0.0,0.0
2014-12-27,37.5,37.55,37.05,37.3,,12166437,0.0,0.0
2014-12-29,37.3,38.25,37.25,38.15,,16635147,0.0,0.0
2014-12-30,38.2,38.3,37.95,38.05,,12334705,0.0,0.0
2014-12-31,38.0,38.2,37.8,38.1,,6425888,0.0,0.0
2015-01-05,38.0,38.0,37.35,37.8,,15472779,0.0,0.0
2015-01-06,37.5,37.5,36.5,36.85,,29608749,0.0,0.0
2015-01-07,36.75,36.85,36.5,36.65,,16833908,0.0,0.0
2015-01-08,37.25,37.25,37.05,37.25,,23123931,0.0,0.0
2015-01-09,37.75,37.75,36.75,37.2,,21274239,0.0,0.0
2015-01-12,37.45,37.8,37.4,37.7,,20941836,0.0,0.0
2015-01-13,37.7,38.3,37.5,38.3,,22135890,0.0,0.0
2015-01-14,38.0,38.3,37.8,37.95,,17126948,0.0,0.0
2015-01-15,38.0,38.0,37.4,37.7,,15172177,0.0,0.0
2015-01-16,38.4,38.7,37.2,37.2,,24494683,0.0,0.0
2015-01-19,38.0,38.25,37.9,38.1,,19826456,0.0,0.0
2015-01-20,38.45,38.45,37.85,37.95,,9802853,0.0,0.0
2015-01-21,38.35,38.95,38.35,38.95,,29104956,0.0,0.0
2015-01-22,38.95,39.3,38.8,39.15,,26733640,0.0,0.0
2015-01-23,39.5,39.9,39.2,39.6,,26475582,0.0,0.0
2015-01-26,39.6,39.8,39.2,39.5,,15483815,0.0,0.0
2015-01-27,39.8,40.0,39.5,39.75,,23367468,0.0,0.0
2015-01-28,39.25,39.8,39.25,39.8,,16476135,0.0,0.0
2015-01-29,39.9,40.0,39.4,39.5,,21323093,0.0,0.0
2015-01-30,39.8,40.45,39.6,39.9,,42419661,0.0,0.0
2015-02-02,40.3,40.85,40.0,40.6,,38264706,0.0,0.0
2015-02-03,40.6,40.75,40.15,40.5,,30153700,0.0,0.0
2015-02-04,40.5,41.0,40.5,40.95,,23901301,0.0,0.0
2015-02-05,41.45,41.45,40.75,40.9,,21773881,0.0,0.0
2015-02-06,41.1,41.2,40.85,41.0,,26024666,0.0,0.0
2015-02-09,40.05,40.5,39.2,39.8,,27278991,0.0,0.0
2015-02-10,39.95,40.6,39.4,40.45,,30394959,0.0,0.0
2015-02-11,40.5,41.5,40.5,41.3,,30043395,0.0,0.0
2015-02-12,42.0,42.3,41.0,41.9,,33552386,0.0,0.0
2015-02-13,42.0,43.0,41.95,43.0,,34871820,0.0,0.0
2015-02-24,43.7,43.7,42.2,42.8,,32949712,0.0,0.0
2015-02-25,43.0,44.2,42.9,43.5,,37639313,0.0,0.0
2015-02-26,43.6,43.6,42.3,42.3,,29291089,0.0,0.0
2015-03-02,44.75,44.8,42.7,44.0,,42024654,0.0,0.0
2015-03-03,44.0,44.0,43.1,43.95,,28939697,0.0,0.0
2015-03-04,43.95,44.9,43.55,44.0,,33732517,0.0,0.0
2015-03-05,44.0,44.05,43.7,43.7,,27599172,0.0,0.0
2015-03-06,43.3,44.2,43.3,44.2,,19943218,0.0,0.0
2015-03-09,44.6,45.45,44.55,44.75,,43846120,0.0,0.0
2015-03-10,45.0,47.85,45.0,47.75,,83987291,0.0,0.0
2015-03-11,47.0,47.5,45.2,45.25,,89839169,0.0,0.0
2015-03-12,45.25,45.6,44.55,45.25,,51954614,0.0,0.0
2015-03-13,45.1,45.8,44.7,44.8,,52890610,0.0,0.0
2015-03-16,44.8,44.85,43.9,43.9,,29210241,0.0,0.0
2015-03-17,44.3,44.95,44.0,44.05,,33950312,0.0,0.0
2015-03-18,44.05,44.85,43.75,44.7,,28921298,0.0,0.0
2015-03-19,45.0,46.4,44.8,46.2,,52858716,0.0,0.0
2015-03-20,45.3,46.0,45.3,45.95,,24221859,0.0,0.0
2015-03-23,45.5,46.0,45.3,45.8,,19715842,0.0,0.0
2015-03-24,45.7,45.85,44.9,45.25,,21367353,0.0,0.0
2015-03-25,44.6,45.05,44.2,44.6,,18700325,0.0,0.0
2015-03-26,43.55,43.55,42.25,43.55,,58513741,0.0,0.0
2015-03-27,42.7,43.1,41.05,41.05,,81513914,0.0,0.0
2015-03-30,41.8,42.95,41.75,42.85,,38595845,0.0,0.0
2015-03-31,42.95,42.95,41.7,42.25,,35361899,0.0,0.0
2015-04-01,42.0,42.35,41.75,41.95,,31960594,0.0,0.0
2015-04-02,42.4,43.5,42.0,42.7,,51259071,0.0,0.0
2015-04-07,43.0,43.2,42.45,42.85,,24626595,0.0,0.0
2015-04-08,43.25,43.25,42.1,42.8,,31312548,0.0,0.0
2015-04-09,43.0,44.35,43.0,43.5,,40655296,0.0,0.0
2015-04-10,44.0,44.15,42.95,42.95,,22200359,0.0,0.0
2015-04-13,43.0,43.75,43.0,43.65,,33679483,0.0,0.0
2015-04-14,43.15,43.6,43.1,43.15,,18535506,0.0,0.0
2015-04-15,42.75,43.15,42.0,42.0,,24821029,0.0,0.0
2015-04-16,42.2,43.3,42.15,43.3,,28005790,0.0,0.0
2015-04-17,42.8,43.2,42.25,42.9,,27834803,0.0,0.0
2015-04-20,42.6,42.65,41.8,41.8,,29327477,0.0,0.0
2015-04-21,41.85,43.2,41.85,42.85,,38512813,0.0,0.0
2015-04-22,43.45,44.15,43.2,43.85,,39782951,0.0,0.0
2015-04-23,44.0,45.0,43.85,44.5,,43427271,0.0,0.0
2015-04-24,44.9,45.9,44.8,45.7,,53225824,0.0,0.0
