date,open,high,low,close,adj_close,volume,dividend,stock_split
2014-11-28,47.5,47.85,46.6,46.8,,56339504,0.0,0.0
2014-12-01,45.0,47.25,45.0,47.25,,53418431,0.0,0.0
2014-12-02,46.8,46.95,45.8,46.3,,39825750,0.0,0.0
2014-12-03,46.8,47.75,46.75,46.85,,55955234,0.0,0.0
2014-12-04,47.2,49.25,47.2,48.9,,105459470,0.0,0.0
2014-12-05,49.0,49.3,47.8,48.15,,56819496,0.0,0.0
2014-12-08,48.9,49.0,47.85,47.85,,42037192,0.0,0.0
2014-12-09,47.5,47.5,45.35,45.6,,74129683,0.0,0.0
2014-12-10,45.4,46.2,45.15,46.0,,37766024,0.0,0.0
2014-12-11,45.5,46.2,45.05,46.1,,30573745,0.0,0.0
2014-12-12,46.4,46.8,45.65,45.65,,25993383,0.0,0.0
2014-12-15,45.0,46.3,44.8,46.3,,30186268,0.0,0.0
2014-12-16,45.9,46.4,45.35,45.45,,27233318,0.0,0.0
2014-12-17,45.95,45.95,45.15,45.3,,27122712,0.0,0.0
2014-12-18,45.8,46.2,45.1,45.1,,22937186,0.0,0.0
2014-12-19,46.2,46.3,44.1,45.1,,45613164,0.0,0.0
2014-12-22,46.55,47.8,46.4,47.6,,82252292,0.0,0.0
2014-12-23,47.55,47.55,46.75,47.05,,40159653,0.0,0.0
2014-12-24,46.85,47.65,46.5,47.65,,41420414,0.0,0.0
2014-12-25,47.6,47.75,47.15,47.15,,19145818,0.0,0.0
2014-12-26,47.4,48.25,46.85,47.8,,32575178,0.0,0.0
2014-12-27,48.2,48.2,47.6,48.0,,21499480,0.0,0.0
2014-12-29,49.0,50.8,49.0,50.0,,115003341,0.0,0.0
2014-12-30,50.6,51.4,50.1,50.2,,90309701,0.0,0.0
2014-12-31,50.2,50.5,49.8,50.2,,38042838,0.0,0.0
2015-01-05,50.0,52.3,49.75,51.5,,70107799,0.0,0.0
2015-01-06,50.4,51.2,49.5,49.6,,65068647,0.0,0.0
2015-01-07,48.8,49.4,48.25,49.25,,62075261,0.0,0.0
2015-01-08,49.45,50.3,49.45,49.6,,42984846,0.0,0.0
2015-01-09,50.8,51.0,48.85,49.0,,48553614,0.0,0.0
2015-01-12,49.0,49.6,48.75,49.45,,25379437,0.0,0.0
2015-01-13,48.3,48.75,47.8,47.8,,59074609,0.0,0.0
2015-01-14,46.8,47.2,46.2,47.0,,67166049,0.0,0.0
2015-01-15,46.9,47.5,46.25,47.35,,49134592,0.0,0.0
2015-01-16,46.65,46.65,45.5,45.5,,66560224,0.0,0.0
2015-01-19,45.0,45.5,42.45,42.9,,85645340,0.0,0.0
2015-01-20,43.0,45.25,42.9,45.2,,57260075,0.0,0.0
2015-01-21,45.5,46.0,44.4,44.65,,48114934,0.0,0.0
2015-01-22,45.3,45.9,44.95,45.2,,34646030,0.0,0.0
