ticker,name,market,report_period,previous_blocked_reason,alternate_query_payload_count,candidate_evidence_rows,detail_fetch_count,accepted_candidate_count,resolution_status,market_available_at,accepted_subject,blocked_reason,route_error_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,accepted_candidate_count=0,4,1,1,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
3521,台鋼建設,TPEx,115Q1,accepted_candidate_count=2,4,2,1,1,accepted_unique_official_asof,115/05/05 14:30:52,公告本公司董事會通過115年第1季合併財務報告,,0,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,115Q1,accepted_candidate_count=0,4,2,1,1,accepted_unique_official_asof,115/04/30 14:39:50,公告本公司董事會通過115年度第1季財務報告,,0,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,accepted_candidate_count=0,5,3,0,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,115Q1,accepted_candidate_count=0,4,1,1,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,114Q4,accepted_candidate_count=0,5,2,1,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,115Q1,accepted_candidate_count=0,4,2,1,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
5514,三豐,TPEx,115Q1,accepted_candidate_count=0,4,1,0,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
5514,三豐,TPEx,114Q4,accepted_candidate_count=0,5,2,0,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,accepted_candidate_count=2,5,6,2,2,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=2,0,False,False,False,False,False,False,True,False
6220,岳豐,TPEx,115Q1,accepted_candidate_count=2,4,2,1,1,accepted_unique_official_asof,115/05/13 15:26:58,公告本公司董事會通過115年第一季合併財務報告,,0,False,False,False,False,False,False,True,False
6725,矽科宏晟,TPEx,115Q1,accepted_candidate_count=0,4,1,0,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,115Q1,accepted_candidate_count=0,4,1,1,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,114Q4,accepted_candidate_count=0,5,2,1,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
8080,泰霖,TPEx,115Q1,accepted_candidate_count=0,4,0,0,0,blocked_unmatched_or_ambiguous,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
