ticker,name,market,report_period,announcement_date,announcement_time,market_available_at,subject,prefilter_status,detail_fetched,detail_status,detail_payload,detail_text_excerpt,match_status,accepted_candidate,policy_reason,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,115/04/30,17:36:57,115/04/30 17:36:57,公告本公司115年第1季財務報告董事會召開日期,target_period_financial_subject,True,ok,"{""enterDate"": ""1150430"", ""serialNumber"": ""1"", ""companyId"": ""1240"", ""marketKind"": ""otc""}",1.董事會召集通知日:115/04/30 2.董事會預計召開日期:115/05/11 3.預計提報董事會或經董事會決議之財務報告或年度自結財務資訊年季:115年第1季 4.其他應敘明事項:無 ,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
3521,台鋼建設,TPEx,115Q1,115/04/27,15:22:19,115/04/27 15:22:19,公告本公司115年第1季合併財務報告預計提報董事會日期,excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
3521,台鋼建設,TPEx,115Q1,115/05/05,14:30:52,115/05/05 14:30:52,公告本公司董事會通過115年第1季合併財務報告,target_period_financial_subject,True,ok,"{""enterDate"": ""1150505"", ""serialNumber"": ""4"", ""companyId"": ""3521"", ""marketKind"": ""otc""}","1.提報董事會或經董事會決議日期:115/05/05 2.審計委員會通過日期:115/05/05 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01~115/03/31 4.1月1日累計至本期止營業收入(仟元):10,438 5.1月1日累計至本期止營業毛利(毛損) (仟元):(4,451) 6.1月1日累計至本期止營業利益(損失) (仟元):(25,250) 7.1月1日累計至本期止稅前淨利(淨損) (仟元):314,579 8.1月1日累計至本期止本期淨利(淨損) (仟元):309,453 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):309,453 10.1月1日累計至本期止基本每股盈餘(損失) (元):2.12 11.期末總資產(仟元):1,818,029 12.期末總負債(仟元):59,624 13.期末歸屬於母公司業主之權益(仟元):1,758,405 14.其他應敘明事項:無 ",accepted_direct_target_financial_report,True,target-period financial report with board-pass wording,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,115Q1,115/04/22,13:45:44,115/04/22 13:45:44,"公告本公司115年第1季財務報告董事會預計召開日期為
為115年4月30日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,115Q1,115/04/30,14:39:50,115/04/30 14:39:50,公告本公司董事會通過115年度第1季財務報告,target_period_financial_subject,True,ok,"{""enterDate"": ""1150430"", ""serialNumber"": ""1"", ""companyId"": ""3567"", ""marketKind"": ""otc""}","1.提報董事會或經董事會決議日期:115/04/30 2.審計委員會通過日期:115/04/30 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01~115/3/31 4.1月1日累計至本期止營業收入(仟元):62,555 5.1月1日累計至本期止營業毛利(毛損) (仟元):15,721 6.1月1日累計至本期止營業利益(損失) (仟元):4,716 7.1月1日累計至本期止稅前淨利(淨損) (仟元):5,740 8.1月1日累計至本期止本期淨利(淨損) (仟元):4,555 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):4,555 10.1月1日累計至本期止基本每股盈餘(損失) (元):0.13 11.期末總資產(仟元):619,204 12.期末總負債(仟元):38,668 13.期末歸屬於母公司業主之權益(仟元):580,536 14.其他應敘明事項:無 ",accepted_direct_target_financial_report,True,target-period financial report with board-pass wording,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,115/02/26,14:03:47,115/02/26 14:03:47,"公告本公司114年度財務報告董事會預計召開日期
為115年3月6日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,115/04/22,13:45:44,115/04/22 13:45:44,"公告本公司115年第1季財務報告董事會預計召開日期為
為115年4月30日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,115/04/30,14:39:50,115/04/30 14:39:50,公告本公司董事會通過115年度第1季財務報告,excluded_wrong_period,False,,,,excluded_wrong_period,False,subject/detail maps to wrong report period,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,115Q1,115/04/22,13:38:58,115/04/22 13:38:58,公告本公司115年第一季財務報告董事會召開日期,target_period_financial_subject,True,ok,"{""enterDate"": ""1150422"", ""serialNumber"": ""1"", ""companyId"": ""4974"", ""marketKind"": ""otc""}",1.董事會召集通知日:115/04/22 2.董事會預計召開日期:115/04/30 3.預計提報董事會或經董事會決議之財務報告或年度自結財務資訊年季: 115年第一季 4.其他應敘明事項:無 ,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,114Q4,115/02/12,09:29:49,115/02/12 09:29:49,公告本公司114年度財務報告董事會召開日期,target_period_financial_subject,True,ok,"{""enterDate"": ""1150212"", ""serialNumber"": ""1"", ""companyId"": ""4974"", ""marketKind"": ""otc""}",1.董事會召集通知日:115/02/12 2.董事會預計召開日期:115/02/26 3.預計提報董事會或經董事會決議之財務報告或年度自結財務資訊年季: 114年度 4.其他應敘明事項:無 ,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,114Q4,115/04/22,13:38:58,115/04/22 13:38:58,公告本公司115年第一季財務報告董事會召開日期,excluded_wrong_period,False,,,,excluded_wrong_period,False,subject/detail maps to wrong report period,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,115Q1,115/04/27,16:50:40,115/04/27 16:50:40,115年度第一季合併財務報告預計提報董事會日期公告,excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,115Q1,115/06/03,17:14:45,115/06/03 17:14:45,"更正114年個體及合併財報及115年第一季合併財報附註事項
，財務報告更正未有影響損益金額之情事。",target_period_financial_subject,True,ok,"{""enterDate"": ""1150603"", ""serialNumber"": ""1"", ""companyId"": ""5213"", ""marketKind"": ""otc""}","1.事實發生日:115/06/03 2.公司名稱:亞昕國際開發股份有限公司 3.與公司關係(請輸入本公司或子公司):本公司 4.相互持股比例:無 5.發生緣由:更正114年個體及合併財報及115年第一季合併財報附註事項。 6.更正資訊項目/報表名稱:更正114年個體及合併財報及115年第一季合併財報附註事項。 7.更正前金額/內容/頁次: 114年度個體及合併財報：無 115年第一季附註揭露事項，合併財報第41頁，(一)重大交易事項相關資訊4.與關係人進 、銷貨之金額達新台幣一億元或實收資本額百分之二十以上者： (1)進(銷)貨之公司：亞昕國際開發(股)公司 交易對象名稱：國原營造（股）公司 關係：其董事與本公司董事長係二親等關係 交易情形：進貨 金額：695,670仟元 佔總進(銷)貨之比率：57.36% (2)進(銷)貨之公司：全虹建設(股)公司 交易對象名稱：國原營造（股）公司 關係：該公司其董事為本公司董事 交易情形：進貨 金額：57,032仟元 佔總進(銷)貨之比率：23.78% 8.更正後金額/內容/頁次: 114年個體財報與關係人間之重大交易事項 個體財報第48頁 內容：(5)本公司於民國一一四年十月經董事會決議通過向其他關係人購買台中市何厝段 土地，合約總價計302,170千元。截至民國一一四年十二月三十一日，本公司已支付 30,217千元(帳列存貨項下)，尚未完成產權移轉。 114年合併財報與關係人間之重大交易事項 合併財報第60頁 內容：(5)合併公司於民國一一四年十月經董事會決議通過向其他關係人購買台中市何厝 段土地，合約總價計302,170千元。截至民國",excluded_wrong_period,False,subject/detail maps to wrong report period,False,False,False,False,False,False,True,False
5514,三豐,TPEx,115Q1,115/04/24,14:10:05,115/04/24 14:10:05,"公告本公司115年第1季財務報告董事會預計
召開日期為115年05月05日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
5514,三豐,TPEx,114Q4,115/02/12,14:40:45,115/02/12 14:40:45,"公告本公司114年第4季財務報告董事會預計
召開日期為115年03月03日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
5514,三豐,TPEx,114Q4,115/04/24,14:10:05,115/04/24 14:10:05,"公告本公司115年第1季財務報告董事會預計
召開日期為115年05月05日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,115/02/25,17:45:05,115/02/25 17:45:05,公告114年度財務報告董事會預計召開日期為115年03月05日,excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,115/03/05,21:02:49,115/03/05 21:02:49,公告本公司董事會通過114年度合併財務報告,target_period_financial_subject,True,ok,"{""enterDate"": ""1150304"", ""serialNumber"": ""1"", ""companyId"": ""6114"", ""marketKind"": ""otc""}","1.提報董事會或經董事會決議日期:115/03/05 2.審計委員會通過日期:115/03/05 3.財務報告或年度自結財務資訊報導期間 起訖日期(XXX/XX/XX~XXX/XX/XX):114/01/01~114/12/31 4.1月1日累計至本期止營業收入(仟元):874,437 5.1月1日累計至本期止營業毛利(毛損) (仟元):127,291 6.1月1日累計至本期止營業利益(損失) (仟元):42,510 7.1月1日累計至本期止稅前淨利(淨損) (仟元):185,876 8.1月1日累計至本期止本期淨利(淨損) (仟元):139,647 9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):139,647 10.1月1日累計至本期止基本每股盈餘(損失) (元):3.18 11.期末總資產(仟元):2,243,175 12.期末總負債(仟元):608,190 13.期末歸屬於母公司業主之權益(仟元):1,634,985 14.其他應敘明事項:依待出售處分停業單位之會計處理準則編制，財務報表詳細資訊，                   依規定上傳公開資訊觀測站。 ",accepted_direct_target_financial_report,True,target-period financial report with board-pass wording,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,115/03/10,19:55:12,115/03/10 19:55:12,"(更正115年02月25日公告)公告本公司114年度自結財務資訊
董事會預計召開日期為115年03月05日",excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,115/03/20,19:46:30,115/03/20 19:46:30,公告114年度財務報告董事會預計召開日期為115年03月30日,excluded_premeeting_notice,False,,,,excluded_premeeting_notice,False,premeeting/proposed board-date notice is not official market_available_at,False,False,False,False,False,False,True,False
