ts,symbol,step,status,message
2026-06-24T10:23:32+08:00,3081,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:23:37+08:00,3081,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
2026-06-24T10:23:37+08:00,3163,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:23:45+08:00,3163,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
2026-06-24T10:23:45+08:00,3234,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:23:56+08:00,3234,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
2026-06-24T10:23:56+08:00,3363,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:00+08:00,3363,evidence,accepted,光纖;CPO;光主動
2026-06-24T10:24:00+08:00,3450,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:06+08:00,3450,evidence,accepted,光通訊;光纖;收發模組;光通訊元件;磊晶
2026-06-24T10:24:06+08:00,4908,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:10+08:00,4908,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
2026-06-24T10:24:10+08:00,4977,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:15+08:00,4977,evidence,accepted,VCSEL
2026-06-24T10:24:15+08:00,4979,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:22+08:00,4979,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
2026-06-24T10:24:22+08:00,6442,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:28+08:00,6442,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
2026-06-24T10:24:28+08:00,6451,mops_pdf,started,fetch/reuse annual report
2026-06-24T10:24:36+08:00,6451,evidence,accepted,光通訊;光纖;光收發;光模組;收發模組
