symbol,ticker,exchange,name,theme,subtheme,source_type,source_title,source_url,source_date,filename,download_status,parse_status,matched_keywords,pdf_bytes
3081,3081.TWO,TPEx,聯亞,CPO/矽光子,光通訊磊晶,company_annual_report,聯亞 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3081&filename=2021_3081_20220525F04.pdf,2022-05-25,2021_3081_20220525F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;光通訊元件;磊晶;雷射;VCSEL;光纖通訊;封裝,6233741
3163,3163.TWO,TPEx,波若威,CPO/矽光子,光通訊/CPO,company_annual_report,波若威 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3163&filename=2021_3163_20220523F04.pdf,2022-05-23,2021_3163_20220523F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;光通訊模組;光通訊元件;矽光子;CPO;光纖通訊;光主動;光被動;光元件;光收發器;封裝,6264566
3234,3234.TWO,TPEx,光環,CPO/矽光子,光通訊元件,company_annual_report,光環 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3234&filename=2021_3234_20220526F04.pdf,2022-05-26,2021_3234_20220526F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;光通訊元件;磊晶;雷射;VCSEL;光纖通訊;光主動;光元件;光收發器;封裝,5194024
3363,3363.TWO,TPEx,上詮,CPO/矽光子,光纖元件,company_annual_report,上詮 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3363&filename=2021_3363_20220527F04.pdf,2022-05-27,2021_3363_20220527F04.pdf,reused,parsed,光纖;CPO;光主動,3116738
3450,3450.TW,TWSE,聯鈞,CPO/矽光子,光通訊元件,company_annual_report,聯鈞 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=3450&filename=2021_3450_20220629F04.pdf,2022-06-29,2021_3450_20220629F04.pdf,reused,parsed,光通訊;光纖;收發模組;光通訊元件;磊晶;雷射;VCSEL;矽光子;光纖通訊;光主動;封裝,4316834
4908,4908.TWO,TPEx,前鼎,CPO/矽光子,光通訊模組,company_annual_report,前鼎 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=4908&filename=2021_4908_20220622F04.pdf,2022-06-22,2021_4908_20220622F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;光通訊模組;雷射;光纖通訊;光主動;光被動;光元件;封裝,9060104
4977,4977.TW,TWSE,眾達-KY,CPO/矽光子,光收發模組,company_annual_report,眾達-KY 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=4977&filename=2021_4977_20220624F04.pdf,2022-06-24,2021_4977_20220624F04.pdf,reused,parsed,VCSEL,9238072
4979,4979.TWO,TPEx,華星光,CPO/矽光子,光通訊模組,company_annual_report,華星光 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=4979&filename=2021_4979_20220617F04.pdf,2022-06-17,2021_4979_20220617F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;光通訊模組;光通訊元件;磊晶;雷射;VCSEL;矽光子;光纖通訊;光主動;光元件;光收發器;封裝,2014206
6442,6442.TW,TWSE,光聖,CPO/矽光子,光通訊元件,company_annual_report,光聖 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=6442&filename=2021_6442_20220627F04.pdf,2022-06-27,2021_6442_20220627F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;光通訊模組;光通訊元件;光纖通訊;光被動;光元件;封裝,3757310
6451,6451.TW,TWSE,訊芯-KY,CPO/矽光子,光通訊封裝,company_annual_report,訊芯-KY 2021 股東會年報,https://doc.twse.com.tw/server-java/t57sb01?step=9&kind=F&co_id=6451&filename=2021_6451_20220623F04.pdf,2022-06-23,2021_6451_20220623F04.pdf,reused,parsed,光通訊;光纖;光收發;光模組;收發模組;雷射;VCSEL;矽光子;CPO;光纖通訊;封裝,10093060
