period,adjusted_requirement_keys,adjusted_direct_ready_keys,A_raw_available_for_unadjusted_MA_keys,A_official_raw_keys,A_trusted_raw_comparator_only_keys,B_raw_plus_adjusted_reconstructable_keys,D_raw_ready_factor_incomplete_keys,adjusted_neither_source_review_keys,raw_execution_requirement_keys,raw_execution_ready_keys,C_true_local_raw_gap_trusted_trade_evidence_keys,E_raw_no_trade_or_NA_review_keys,raw_execution_ready_share,adjusted_direct_ready_share,future_data_violation_count
P1,514188,480243,496632,433695,62937,480243,16389,17556,168196,131531,20456,16209,0.7820102737282694,0.9339832901584635,0
P2,235040,227236,229211,224925,4286,227236,1975,5829,72910,70247,1498,1165,0.9634755177616239,0.9667971409121852,0
