ticker,date,market,close,source_quality,adjustment_policy,source_url,source_hash,retrieved_at,source_reuse,future_data_violation_count,checkpoint_path
00631L,2016-01-20,TWSE,15.15,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-30T03:01:56+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-01.json.gz
00631L,2016-01-29,TWSE,16.92,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160101&stockNo=00631L&response=json,094dc8a697b23336a919d1895e7c5d453f522c792a3a9fe3ed506ad3019fa168,2026-07-30T03:01:56+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-01.json.gz
00631L,2016-02-26,TWSE,18.38,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160201&stockNo=00631L&response=json,91f06cb18d9d579bdee973ee47c6be7d3a4131d51c51d742a9f0f9c5c0c18b87,2026-07-30T03:01:57+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-02.json.gz
00631L,2016-03-31,TWSE,20.24,official_raw_close_local_index_reuse,official_unadjusted_execution_close_only,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20160331&type=ALLBUT0999&response=json,f3f1c894e6f6b99d2ff98acf8581b01f4f6541ae78656e3085456d98a829d845,2026-07-16T03:04:58+00:00,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_shifted_path_local_close_extraction_20260716\bounded_network_raw_full_close_index.csv.gz,0,
00631L,2016-04-07,TWSE,18.83,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160401&stockNo=00631L&response=json,9b2dcbfb01463a68b73840f3314e2381d232191583ba3471f58189710ed4cda9,2026-07-30T03:02:00+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-04.json.gz
00631L,2016-05-18,TWSE,17.5,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160501&stockNo=00631L&response=json,306ea0ed58afd3e9b84db1edb771e598f3437654df4750cfe9812e4dd2ea84be,2026-07-30T03:02:01+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-05.json.gz
00631L,2016-05-31,TWSE,19.25,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160501&stockNo=00631L&response=json,306ea0ed58afd3e9b84db1edb771e598f3437654df4750cfe9812e4dd2ea84be,2026-07-30T03:02:01+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-05.json.gz
00631L,2016-06-30,TWSE,20.28,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160601&stockNo=00631L&response=json,6d5b8704642f88cc4f2d8c739e7266aeede09bdf80de829727752c40734f2d98,2026-07-30T03:02:03+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-06.json.gz
00631L,2016-07-29,TWSE,22.9,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160701&stockNo=00631L&response=json,9702866a92a5659fc8a61fc4693b45b5733e242e52c25b3da4822f0b3d2c7508,2026-07-30T03:02:04+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-07.json.gz
00631L,2016-08-31,TWSE,23.47,official_twse_selected_ticker_month_close_only,official_unadjusted_execution_close_only,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20160801&stockNo=00631L&response=json,36b83210ece64914ac2ef3e2dfd0e42fe4efa7d04981639e96d65fc167fabda6,2026-07-30T03:02:05+00:00,authorized_official_ticker_month_route,0,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_three_strategy_exact_raw_close_fill_20260730\checkpoints\00631L\2016-08.json.gz
