route,payload,payload_hash,raw_cache_path,response_hash,route_status,route_error,retry_count,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,source_id,source_url,market,source_quality,raw_sha256,response_bytes,records_total,selected_ticker_candidate_records,archive_coverage_policy,used_for_no_event_proof
t05st01,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,raw_cache\no_event_1301_106_05_list.json,559acb00c88d22aa868f7fdeff534df567b4d802b02fe2f5a42f3eb69dd2db38,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060504"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",dd135eee47e4a2ff4df3107e0a67ac93bfabd456119afce6908cb3baa4aebe4b,raw_cache\1301_106_05_0_detail.json,ef17363c57f701f2af9925da2e4112da362ca05afc0c3f6e17a54edda3844911,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060508"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",13c69fee26a59a3ca208294263ee99584f81e49c595c263c4d4914d135ad919e,raw_cache\1301_106_05_1_detail.json,c69fd97739885b246bb59b1cd0833bae54b55f6c17e4b3c700abc319796a8841,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060509"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",a8db2843f98a564b010f5eefbcc293033be75ad419c3e9edf64235d811209102,raw_cache\1301_106_05_2_detail.json,9e34be84d19d1aa1e69d341ad08ffc51127ef36aae44632375a4172e88099f44,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060509"", ""marketKind"": ""sii"", ""serialNumber"": ""2""}",023a82112770b0bb25c12686f9b31f198be50d72425548791f0b8cf03e3934de,raw_cache\1301_106_05_3_detail.json,197af0450a0f0c4dcf3afacd58224d40101769bf66c27c935f785a5403cbc3b6,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060509"", ""marketKind"": ""sii"", ""serialNumber"": ""3""}",48699024575b768082c21db5a6cdea9757dc340356a09dd1d458e24e3013faed,raw_cache\1301_106_05_4_detail.json,ba4e599414629272cbae78ae87622bd38f58fd7867bdd8f5d1761d550eaf204c,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060509"", ""marketKind"": ""sii"", ""serialNumber"": ""4""}",ed8ce8c1645260aec1b2760dfb99c94b76291d16c9579147829e298c44e09b67,raw_cache\1301_106_05_5_detail.json,9d1f3be18cfdb4ef007a3c5eaca4cd1089e1edc01c9df1ebbae093053fb1d550,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060509"", ""marketKind"": ""sii"", ""serialNumber"": ""5""}",357a49a9e4c96b3aa2dd80c798cce6847b4838ec27a961a05a7418b2e4a00632,raw_cache\1301_106_05_6_detail.json,047d9f38d57009abd7ea8056f03a9c55f2c6070cd1f8532213f1e573dcba7135,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060510"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",a03ccef5faadfc81c41cfb653d18c31cf2d454db28b264cfd1714c4567335eac,raw_cache\1301_106_05_7_detail.json,069ebc9ade768c71ae44725f11192bb518f063aeba6d1b1f3defa8b818554f2f,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
t05st01_detail,"{""companyId"": ""1301"", ""enterDate"": ""1060524"", ""marketKind"": ""sii"", ""serialNumber"": ""1""}",53c851a5b9ba60f262a704d1d85ea6b6d3d1ffc4f89bc35973f360ce3bd9a3a1,raw_cache\1301_106_05_8_detail.json,8b29495e63555177e649d0463c5444ed871ae50d291d5031372e1274c688a563,cache_hit,,0,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,,,,,,,,,,
