ticker,market,year_roc,month,query_scope,holding_legs_in_month,official_route,response_status,response_rows,payload,payload_hash,response_hash,raw_cache_path,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,event_type,classified_event_rows,overlap_event_rows,missing_effective_date_rows,proof_status,proof_reason
2330,TWSE,104,02,2330 ROC104/02,1,MOPS t05st01,cache_hit,21,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""02"", ""year"": ""104""}",29fd72e368380e56cb85a517805893f62ed18ed20f2cce9961947f56fc2c4b1c,dac77db6b19c75fc259affdbc50b330ce93b482a2ff87fbfbfacf64984ac4a55,raw_cache\no_event_2330_104_02_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,2,0,2,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2330,TWSE,104,02,2330 ROC104/02,1,MOPS t05st01,cache_hit,21,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""02"", ""year"": ""104""}",29fd72e368380e56cb85a517805893f62ed18ed20f2cce9961947f56fc2c4b1c,dac77db6b19c75fc259affdbc50b330ce93b482a2ff87fbfbfacf64984ac4a55,raw_cache\no_event_2330_104_02_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,stock_dividend_exright,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2330,TWSE,112,03,2330 ROC112/03,8,MOPS t05st01,cache_hit,15,"{""companyId"": ""2330"", ""firstDay"": """", ""lastDay"": """", ""month"": ""03"", ""year"": ""112""}",74183c93becce9853838baccb4cb3bc7e15e6e8df8165fb6818b6fa357bd84d3,c6799eb314562ef06078df49d4836848cbe59997eb2c47a0bd5d39c30926cc97,raw_cache\no_event_2330_112_03_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2374,TWSE,113,05,2374 ROC113/05,4,MOPS t05st01,cache_hit,10,"{""companyId"": ""2374"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""113""}",df26aafca0618d3088e7e96f42fa0cec9101254f6b9ef3c2c4a7c736b4ca6b07,988ddde503a1c872da74f517bf4e2baebf16437045b4bcebf1f557ae763ed298,raw_cache\no_event_2374_113_05_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2374,TWSE,113,05,2374 ROC113/05,4,MOPS t05st01,cache_hit,10,"{""companyId"": ""2374"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""113""}",df26aafca0618d3088e7e96f42fa0cec9101254f6b9ef3c2c4a7c736b4ca6b07,988ddde503a1c872da74f517bf4e2baebf16437045b4bcebf1f557ae763ed298,raw_cache\no_event_2374_113_05_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,stock_dividend_exright,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2374,TWSE,113,05,2374 ROC113/05,4,MOPS t05st01,cache_hit,10,"{""companyId"": ""2374"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""113""}",df26aafca0618d3088e7e96f42fa0cec9101254f6b9ef3c2c4a7c736b4ca6b07,988ddde503a1c872da74f517bf4e2baebf16437045b4bcebf1f557ae763ed298,raw_cache\no_event_2374_113_05_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,merger_share_conversion,2,0,2,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2388,TWSE,112,11,2388 ROC112/11,5,MOPS t05st01,cache_hit,5,"{""companyId"": ""2388"", ""firstDay"": """", ""lastDay"": """", ""month"": ""11"", ""year"": ""112""}",cc0324cb9909b6f25955e8dcf1eaf3b983505da0b978a362ae456e5841e61fc5,5a8c5139f29cff7301a0f8ffdd5239e845df74a8bd62ea3252586072c4221116,raw_cache\no_event_2388_112_11_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2412,TWSE,105,09,2412 ROC105/09,4,MOPS t05st01,cache_hit,8,"{""companyId"": ""2412"", ""firstDay"": """", ""lastDay"": """", ""month"": ""09"", ""year"": ""105""}",b002634e6bd0cccc8ad494b5d3d603456130be055d2246f229ce7130c9354c8f,44560389550c636ddcc65f962d0e8b24545fd7b376be59ab0750070803e36bb4,raw_cache\no_event_2412_105_09_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,merger_share_conversion,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2453,TWSE,112,03,2453 ROC112/03,5,MOPS t05st01,cache_hit,4,"{""companyId"": ""2453"", ""firstDay"": """", ""lastDay"": """", ""month"": ""03"", ""year"": ""112""}",03d059bf3512a6145a399a82a6ea654e8ccd694abad47f8bcb8bf89102a2d55f,eef7bd8437860987f67e053e00a91217b9250c8cd3b0eb70e2b95fc684b44a47,raw_cache\no_event_2453_112_03_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
2453,TWSE,112,03,2453 ROC112/03,5,MOPS t05st01,cache_hit,4,"{""companyId"": ""2453"", ""firstDay"": """", ""lastDay"": """", ""month"": ""03"", ""year"": ""112""}",03d059bf3512a6145a399a82a6ea654e8ccd694abad47f8bcb8bf89102a2d55f,eef7bd8437860987f67e053e00a91217b9250c8cd3b0eb70e2b95fc684b44a47,raw_cache\no_event_2453_112_03_list.json,2026-07-10T10:43:05+00:00,0,False,False,False,False,False,False,False,True,False,stock_dividend_exright,1,0,1,blocked_event_candidate_missing_effective_date,official_event_candidate_requires_exact_effective_date_before_no_event_proof
