base_strategy,signal_date,ticker,asset_type,hold_start,hold_end_exclusive,holding_leg_source_quality
raw_Daily_F_challenger,2017-05-12,1301,stock,2017-05-15,2017-05-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-05-15,1301,stock,2017-05-16,2017-05-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-05-16,1301,stock,2017-05-17,2017-05-18,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-05-17,1301,stock,2017-05-18,2017-05-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-05-18,1301,stock,2017-05-19,2017-05-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-05-12,1301,stock,2017-05-15,2017-05-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-05-15,1301,stock,2017-05-16,2017-05-17,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-05-16,1301,stock,2017-05-17,2017-05-18,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-05-17,1301,stock,2017-05-18,2017-05-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2017-05-18,1301,stock,2017-05-19,2017-05-22,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-04-30,2316,stock,2015-05-04,2015-05-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-04,2316,stock,2015-05-05,2015-05-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-05,2316,stock,2015-05-06,2015-05-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-06,2316,stock,2015-05-07,2015-05-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-05-07,2316,stock,2015-05-08,2015-05-11,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-04-30,2316,stock,2015-05-04,2015-05-05,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-04,2316,stock,2015-05-05,2015-05-06,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-05,2316,stock,2015-05-06,2015-05-07,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-06,2316,stock,2015-05-07,2015-05-08,official_unadjusted_selected_stock_daily_state_path_diagnostic
reconstructed_single_position_R6,2015-05-07,2316,stock,2015-05-08,2015-05-11,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-01-17,2317,stock,2017-01-18,2017-01-19,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-01-18,2317,stock,2017-01-19,2017-01-20,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2017-01-19,2317,stock,2017-01-20,2017-01-23,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-01-27,2330,stock,2015-01-28,2015-01-29,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-01-28,2330,stock,2015-01-29,2015-01-30,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-01-29,2330,stock,2015-01-30,2015-02-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2015-01-30,2330,stock,2015-02-02,2015-02-03,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-12-06,2330,stock,2019-12-09,2019-12-10,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-12-09,2330,stock,2019-12-10,2019-12-11,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-12-10,2330,stock,2019-12-11,2019-12-12,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-12-11,2330,stock,2019-12-12,2019-12-13,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2019-12-12,2330,stock,2019-12-13,2019-12-16,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2023-03-17,2330,stock,2023-03-20,2023-03-21,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2023-03-22,2330,stock,2023-03-23,2023-03-24,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2023-03-23,2330,stock,2023-03-24,2023-03-27,official_unadjusted_selected_stock_daily_state_path_diagnostic
raw_Daily_F_challenger,2026-05-29,2330,stock,2026-06-01,2026-06-02,official_unadjusted_selected_stock_daily_state_path_diagnostic
