ticker,market,year_roc,month,query_scope,holding_legs_in_month,official_route,response_status,response_rows,payload,payload_hash,response_hash,raw_cache_path,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,event_type,classified_event_rows,overlap_event_rows,missing_effective_date_rows,proof_status,proof_reason
1301,TWSE,106,05,1301 ROC106/05,10,MOPS t05st01,cache_hit,9,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,559acb00c88d22aa868f7fdeff534df567b4d802b02fe2f5a42f3eb69dd2db38,raw_cache\no_event_1301_106_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
1301,TWSE,106,05,1301 ROC106/05,10,MOPS t05st01,cache_hit,9,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,559acb00c88d22aa868f7fdeff534df567b4d802b02fe2f5a42f3eb69dd2db38,raw_cache\no_event_1301_106_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,stock_dividend_exright,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
1301,TWSE,106,05,1301 ROC106/05,10,MOPS t05st01,cache_hit,9,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,559acb00c88d22aa868f7fdeff534df567b4d802b02fe2f5a42f3eb69dd2db38,raw_cache\no_event_1301_106_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,capital_reduction_refund,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
1301,TWSE,106,05,1301 ROC106/05,10,MOPS t05st01,cache_hit,9,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,559acb00c88d22aa868f7fdeff534df567b4d802b02fe2f5a42f3eb69dd2db38,raw_cache\no_event_1301_106_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,split_reverse_split_par_change,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
1301,TWSE,106,05,1301 ROC106/05,10,MOPS t05st01,cache_hit,9,"{""companyId"": ""1301"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""106""}",8eafc0c7ef58d623913a05772f77ad191aed93f57c891742a615b8dbe9ed5d58,559acb00c88d22aa868f7fdeff534df567b4d802b02fe2f5a42f3eb69dd2db38,raw_cache\no_event_1301_106_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,merger_share_conversion,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
2316,TWSE,104,05,2316 ROC104/05,10,MOPS t05st01,cache_hit,8,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,81358793b3d798aac8ac2d4b11e713c115f62836a213e9390c8a4dd2548d6297,raw_cache\no_event_2316_104_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,cash_dividend_exdiv,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
2316,TWSE,104,05,2316 ROC104/05,10,MOPS t05st01,cache_hit,8,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,81358793b3d798aac8ac2d4b11e713c115f62836a213e9390c8a4dd2548d6297,raw_cache\no_event_2316_104_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,stock_dividend_exright,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
2316,TWSE,104,05,2316 ROC104/05,10,MOPS t05st01,cache_hit,8,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,81358793b3d798aac8ac2d4b11e713c115f62836a213e9390c8a4dd2548d6297,raw_cache\no_event_2316_104_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,capital_reduction_refund,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
2316,TWSE,104,05,2316 ROC104/05,10,MOPS t05st01,cache_hit,8,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,81358793b3d798aac8ac2d4b11e713c115f62836a213e9390c8a4dd2548d6297,raw_cache\no_event_2316_104_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,split_reverse_split_par_change,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
2316,TWSE,104,05,2316 ROC104/05,10,MOPS t05st01,cache_hit,8,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,81358793b3d798aac8ac2d4b11e713c115f62836a213e9390c8a4dd2548d6297,raw_cache\no_event_2316_104_05_list.json,2026-07-10T10:43:04+00:00,0,False,False,False,False,False,False,False,True,False,merger_share_conversion,0,0,0,no_event_proven,official_mops_month_response_success_and_zero_classified_event_rows
