date,ticker,market,open,high,low,close,volume,turnover_value,source_url,source_route,source_quality,adjustment_policy,raw_sha256,raw_cache_path,retrieval_time_utc,future_data_violation_count
2025-04-01,1522,TWSE,54.1,55.0,53.8,54.5,724933.0,39555571.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-02,1522,TWSE,54.5,54.8,54.0,54.8,613180.0,33352403.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-07,1522,TWSE,49.35,49.35,49.35,49.35,108371.0,5348049.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-08,1522,TWSE,44.45,46.0,44.45,44.45,2854028.0,127515020.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-09,1522,TWSE,43.6,44.15,40.05,40.05,3948327.0,163496961.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-10,1522,TWSE,44.05,44.05,43.45,44.05,1432258.0,63038836.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-11,1522,TWSE,44.05,45.95,42.55,45.8,2788800.0,125737625.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-14,1522,TWSE,46.5,47.45,45.1,45.75,1534712.0,70817003.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-15,1522,TWSE,49.6,50.3,49.0,50.3,2260530.0,112785535.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-16,1522,TWSE,51.3,51.8,48.0,48.0,6381761.0,318290571.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
2025-04-17,1522,TWSE,47.5,48.8,47.5,47.85,1386327.0,66782788.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0
