date,ticker,name,market,open,high,low,close,volume,turnover_value,source_route,source_url,source_quality,raw_sha256,retrieved_at_utc
2017-05-22,1301,,TWSE,88.0,88.5,87.6,88.0,9667205,850734240,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170501&stockNo=1301&response=json,official_unadjusted_ohlcv_selected_ticker_month,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T06:55:16+00:00
2017-05-23,1301,,TWSE,87.6,88.3,87.6,88.0,8887523,781787424,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170501&stockNo=1301&response=json,official_unadjusted_ohlcv_selected_ticker_month,2f97b5d260d169930f0228386695f91a58e8ece187081e322fc2f5dc4fb74e71,2026-07-10T06:55:16+00:00
2015-05-11,2316,,TWSE,22.9,22.9,21.4,21.75,8319231,182695983,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=2316&response=json,official_unadjusted_ohlcv_selected_ticker_month,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T06:55:16+00:00
2015-05-12,2316,,TWSE,21.75,22.45,21.4,22.35,4297677,93812968,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150501&stockNo=2316&response=json,official_unadjusted_ohlcv_selected_ticker_month,a4a02a7edc8f54770b4bc2b58657a8373b53879a6ce67faf89a592eb23f2fa02,2026-07-10T06:55:16+00:00
2017-01-23,2317,,TWSE,83.5,84.0,83.4,84.0,27882026,2334639337,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170101&stockNo=2317&response=json,official_unadjusted_ohlcv_selected_ticker_month,646ee2683c0b3683b66fcf371d129aab2adcc33a277dae84d9d2f22def5ff94a,2026-07-10T06:55:16+00:00
2017-01-24,2317,,TWSE,83.6,84.0,83.6,83.7,25450490,2131316435,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170101&stockNo=2317&response=json,official_unadjusted_ohlcv_selected_ticker_month,646ee2683c0b3683b66fcf371d129aab2adcc33a277dae84d9d2f22def5ff94a,2026-07-10T06:55:16+00:00
2017-02-02,2317,,TWSE,85.7,85.7,83.2,84.1,76617425,6472870782,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170201&stockNo=2317&response=json,official_unadjusted_ohlcv_selected_ticker_month,c146fa3bf4b6621b8e21b5878386f9b8c6313f2d0390fb7d6cad173d5e257710,2026-07-10T06:55:16+00:00
2017-02-03,2317,,TWSE,83.8,84.1,83.5,83.7,42945286,3593104469,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170201&stockNo=2317&response=json,official_unadjusted_ohlcv_selected_ticker_month,c146fa3bf4b6621b8e21b5878386f9b8c6313f2d0390fb7d6cad173d5e257710,2026-07-10T06:55:16+00:00
2015-02-03,2330,,TWSE,143.0,144.5,142.0,144.5,27234908,3911596752,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150201&stockNo=2330&response=json,official_unadjusted_ohlcv_selected_ticker_month,74599c11134f2e965ecef019b6692b28083ec0beacb9179e2427e228173edea2,2026-07-10T06:55:16+00:00
2015-02-04,2330,,TWSE,144.5,146.5,144.0,146.0,43152252,6270013358,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20150201&stockNo=2330&response=json,official_unadjusted_ohlcv_selected_ticker_month,74599c11134f2e965ecef019b6692b28083ec0beacb9179e2427e228173edea2,2026-07-10T06:55:16+00:00
