family,date,status,filtered_rows,http_status,response_bytes,source_url,source_hash,retrieval_time_utc,error
price,2025-07-30,accepted,6,200,231222,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20250730&type=ALLBUT0999&response=json,c6043916d5e63772cc8cf4cc7bf7e1628b97604c8f76e69fe412232d1ac49b7c,2026-07-21T11:10:01+00:00,
price,2026-03-11,accepted,7,200,241780,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260311&type=ALLBUT0999&response=json,862aa1046a360296e8d5a01b1a692c196e8a845051a6fd1053876de1287111d3,2026-07-21T11:10:03+00:00,
price,2026-06-22,accepted,7,200,247219,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260622&type=ALLBUT0999&response=json,9e3ddae9b3bb60c431db08d1f571fa9240af5a305597cc8ed35e838e8b8e1caf,2026-07-21T11:10:05+00:00,
price,2026-06-23,accepted,7,200,248247,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260623&type=ALLBUT0999&response=json,bf646f944ea46bc6cf362a4f6b4b98191bf7c0ff7ec5125ae4f832ccaac45a31,2026-07-21T11:10:07+00:00,
price,2026-06-24,accepted,7,200,246683,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260624&type=ALLBUT0999&response=json,c1004fd083e6f6bbda69c97ba4f3c4f997c4524c3293d20cf5ed767b9b456571,2026-07-21T11:10:08+00:00,
price,2026-06-25,accepted,7,200,245984,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260625&type=ALLBUT0999&response=json,c6544fa70b32355bc433953a5ff5978c6359a4654c7bc4e3a629fc94c974c9eb,2026-07-21T11:10:09+00:00,
price,2026-06-26,accepted,7,200,250242,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260626&type=ALLBUT0999&response=json,152538188cd95968849badfca3d00f4e5a4ee4dda69049e921a40d94278b4b26,2026-07-21T11:10:11+00:00,
price,2026-06-29,accepted,7,200,245524,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260629&type=ALLBUT0999&response=json,6709ba55290555bf7e98e04a2ec18d36eda5eb4bc1156658d564e18267d22594,2026-07-21T11:10:11+00:00,
price,2026-06-30,accepted,7,200,245745,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260630&type=ALLBUT0999&response=json,ef9de075f6e4e8dcf76b9be5fdff9e4d5e6a9f08a5efa305924d7e5ff6156402,2026-07-21T11:10:13+00:00,
price,2026-07-01,accepted,7,200,246556,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260701&type=ALLBUT0999&response=json,40a39306c74ea5a36cb48c8d8500bb85b743a916378dcbd83cf95ebefc8b439b,2026-07-21T11:10:14+00:00,
