family,date,ticker,classification,reason
raw_close,2025-07-30,2317,official_target_absent_after_bounded_route,no_exact_target_row_in_accepted_or_retried_official_market_day_source
institutional_net,2025-07-30,2317,official_target_absent_after_bounded_route,no_exact_target_row_in_accepted_or_retried_official_market_day_source
