ticker,name,market,report_period,input_blocked_reason,payload_count,unique_announcement_rows,detail_fetch_count,accepted_candidate_count,resolution_status,market_available_at,accepted_subject,blocked_reason,route_error_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,accepted_candidate_count=0,10,20,20,1,accepted_unique_original_official_asof,115/05/11 14:41:50,公告本公司董事會通過115年第一季合併財務報表。,,0,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,accepted_candidate_count=0,11,9,9,1,accepted_unique_original_official_asof,115/03/06 15:27:57,公告本公司董事會通過114年度財務報表,,0,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,115Q1,accepted_candidate_count=0,10,11,11,1,accepted_unique_original_official_asof,115/04/30 14:00:16,本公司董事會通過民國115年第一季財務報表,,0,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,114Q4,accepted_candidate_count=0,11,11,11,1,accepted_unique_original_official_asof,115/02/26 17:17:54,本公司董事會通過民國114年度財務報表,,0,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,115Q1,accepted_candidate_count=0,10,59,59,1,accepted_unique_original_official_asof,115/05/05 16:13:53,董事會通過115年第一季合併財務報表,,0,False,False,False,False,False,False,True,False
5514,三豐,TPEx,115Q1,accepted_candidate_count=0,10,11,11,1,accepted_unique_target_financial_report_subject,115/05/05 15:35:49,公告本公司115年第1季財務報表資訊,,0,False,False,False,False,False,False,True,False
5514,三豐,TPEx,114Q4,accepted_candidate_count=0,11,11,11,1,accepted_unique_target_financial_report_subject,115/03/03 13:53:21,公告本公司114年第4季財務報表資訊,,0,False,False,False,False,False,False,True,False
6114,久威,TPEx,114Q4,accepted_candidate_count=2,11,23,23,3,version_match_blocked,,,6114 has multiple target financial-report announcements; cannot map t164 current values to a specific version,0,False,False,False,False,False,False,True,False
6725,矽科宏晟,TPEx,115Q1,accepted_candidate_count=0,10,30,30,1,accepted_unique_original_official_asof,115/05/12 18:33:20,公告本公司董事會通過115年第1季合併財務報表,,0,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,115Q1,accepted_candidate_count=0,10,11,11,1,accepted_unique_original_official_asof,115/05/05 13:40:34,公告本公司董事會通過115年第1季財務報表,,0,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,114Q4,accepted_candidate_count=0,11,11,11,1,accepted_unique_original_official_asof,115/03/10 16:18:47,公告本公司董事會通過114年度財務報表,,0,False,False,False,False,False,False,True,False
8080,泰霖,TPEx,115Q1,accepted_candidate_count=0,10,19,19,0,blocked_no_official_target_candidate,,,accepted_candidate_count=0,0,False,False,False,False,False,False,True,False
