ticker,name,market,report_period,market_available_at,accepted_subject,accepted_match_status,source_route,after_close_next_trading_day_policy,quarter_end_date_used,query_response_datetime_used,conservative_deadline_proxy_used,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,115/05/11 14:41:50,公告本公司董事會通過115年第一季合併財務報表。,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
3567,逸昌,TPEx,114Q4,115/03/06 15:27:57,公告本公司董事會通過114年度財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,115Q1,115/04/30 14:00:16,本公司董事會通過民國115年第一季財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
4974,亞泰,TPEx,114Q4,115/02/26 17:17:54,本公司董事會通過民國114年度財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
5213,亞昕,TPEx,115Q1,115/05/05 16:13:53,董事會通過115年第一季合併財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
5514,三豐,TPEx,115Q1,115/05/05 15:35:49,公告本公司115年第1季財務報表資訊,candidate_target_financial_report_without_pass_wording,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
5514,三豐,TPEx,114Q4,115/03/03 13:53:21,公告本公司114年第4季財務報表資訊,candidate_target_financial_report_without_pass_wording,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
6725,矽科宏晟,TPEx,115Q1,115/05/12 18:33:20,公告本公司董事會通過115年第1季合併財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,115Q1,115/05/05 13:40:34,公告本公司董事會通過115年第1季財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
6875,國邑*,TPEx,114Q4,115/03/10 16:18:47,公告本公司董事會通過114年度財務報表,accepted_original_or_primary_financial_report,mops_t05st01_t05st01_detail_remaining12_higher_cost_bounded,required_core_calendar_join,False,False,False,False,False,False,False,False,False,True,False
