ticker,report_period,route_scope,payload_count,unique_announcement_rows,detail_fetch_count,accepted_candidate_count,source,coverage,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,115Q1,higher_cost_bounded_remaining12,10,20,20,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
3567,114Q4,higher_cost_bounded_remaining12,11,9,9,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
4974,115Q1,higher_cost_bounded_remaining12,10,11,11,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
4974,114Q4,higher_cost_bounded_remaining12,11,11,11,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
5213,115Q1,higher_cost_bounded_remaining12,10,59,59,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
5514,115Q1,higher_cost_bounded_remaining12,10,11,11,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
5514,114Q4,higher_cost_bounded_remaining12,11,11,11,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
6114,114Q4,higher_cost_bounded_remaining12,11,23,23,3,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
6725,115Q1,higher_cost_bounded_remaining12,10,30,30,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
6875,115Q1,higher_cost_bounded_remaining12,10,11,11,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
6875,114Q4,higher_cost_bounded_remaining12,11,11,11,1,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
8080,115Q1,higher_cost_bounded_remaining12,10,19,19,0,MOPS official t05st01/t05st01_detail,single blocked ticker-period row,0,False,False,False,False,False,False,True,False
