period,route_id,page_url,snapshot_url,attempt_type,status,http_code,content_type,bytes,href_count,pdf_candidate_count,retrieved_path,error,notes
2014Q4,yuantaetfs_0050_product_exact,https://www.yuantaetfs.com/product/detail/0050,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,error,,,0,0,0,,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)",cdx_rows=0
2014Q4,yuantaetfs_0050_product_wildcard,https://www.yuantaetfs.com/product/detail/0050*,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050*&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,error,,,0,0,0,,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)",cdx_rows=0
2014Q4,yuantaetfs_0050_download_wildcard,https://www.yuantaetfs.com/product/detail/0050/download*,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2Fdownload*&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,http_ok,200,application/json,3,0,0,,,cdx_rows=0
2014Q4,yuantaetfs_api_0050_wildcard,https://www.yuantaetfs.com/api/*0050*,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fapi%2F*0050*&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,error,,,0,0,0,,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)",cdx_rows=0
2014Q4,yuantafunds_0050_product_wildcard,https://www.yuantafunds.com/product/detail/0050*,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantafunds.com%2Fproduct%2Fdetail%2F0050*&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,http_ok,200,application/json,3,0,0,,,cdx_rows=0
2014Q4,yuantafunds_0050_any_wildcard,https://www.yuantafunds.com/*0050*,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantafunds.com%2F*0050*&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,error,,,0,0,0,,"ReadTimeout: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=10)",cdx_rows=0
2014Q4,yuantafunds_tw_0050_any_wildcard,https://www.yuantafunds.com.tw/*0050*,"https://web.archive.org/cdx?url=https%3A%2F%2Fwww.yuantafunds.com.tw%2F*0050*&from=201410&to=201501&output=json&fl=timestamp,original,statuscode,mimetype,digest&filter=statuscode:200&collapse=digest&limit=12",wayback_cdx_html_snapshot_search,http_ok,200,application/json,3,0,0,,,cdx_rows=0
2014Q4,yuantaetfs_basic_information,https://www.yuantaetfs.com/product/detail/0050/Basic_information,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2FBasic_information&timestamp=20141231,wayback_available_html_snapshot_search,http_ok,200,application/json,321,0,0,,,closest_timestamp=20211129022344; closest_url=http://web.archive.org/web/20211129022344/https://www.yuantaetfs.com/product/detail/0050/Basic_information
2014Q4,yuantaetfs_ratio,https://www.yuantaetfs.com/product/detail/0050/ratio,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2Fratio&timestamp=20141231,wayback_available_html_snapshot_search,http_ok,200,application/json,297,0,0,,,closest_timestamp=20220526044621; closest_url=http://web.archive.org/web/20220526044621/https://www.yuantaetfs.com/product/detail/0050/ratio
2014Q4,yuantaetfs_download,https://www.yuantaetfs.com/product/detail/0050/download,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050%2Fdownload&timestamp=20141231,wayback_available_html_snapshot_search,http_ok,200,application/json,303,0,0,,,closest_timestamp=20220526050142; closest_url=http://web.archive.org/web/20220526050142/https://www.yuantaetfs.com/product/detail/0050/download
2014Q4,yuantaetfs_product_root,https://www.yuantaetfs.com/product/detail/0050,https://archive.org/wayback/available?url=https%3A%2F%2Fwww.yuantaetfs.com%2Fproduct%2Fdetail%2F0050&timestamp=20141231,wayback_available_html_snapshot_search,http_ok,200,application/json,108,0,0,,,closest_timestamp=; closest_url=
