candidate_id,period,source_html_snapshot,attempt_type,url,status,http_code,content_type,bytes,is_pdf,retrieved_path,parser_status,page_count,parsed_sample_rows,error,text_sample
2014Q4_yuantaetfs_basic_information_20211129022344_1,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_download_candidate,https://www.yuantaetfs.com/product/detail/0050/Basic_information,http_ok,200,text/html; charset=utf-8,1096933,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_1_original_download_candidate.html,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_2,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_download_candidate,https://www.yuantaetfs.com/product/detail/0050/ratio,http_ok,200,text/html; charset=utf-8,1107239,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_2_original_download_candidate.html,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_3,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_download_candidate,https://www.yuantaetfs.com/tradeInfo/pcf/0050,http_ok,200,text/html; charset=utf-8,1068217,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_3_original_download_candidate.html,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_4,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_download_candidate,https://www.yuantaetfs.com/product/detail/0050/PD,http_ok,200,text/html; charset=utf-8,1078254,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_4_original_download_candidate.html,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_5,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_download_candidate,https://www.yuantaetfs.com/product/detail/0050/download,http_ok,200,text/html; charset=utf-8,1080184,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_5_original_download_candidate.html,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_6,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_download_candidate,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyNCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDI0IDI0Ij4NCiAgICA8ZyBmaWxsPSJub25lIiBmaWxsLXJ1bGU9ImV2ZW5vZGQiPg0KICAgICAgICA8Y2lyY2xlIGN4PSIxMiIgY3k9IjEyIiByPSI4IiBzdHJva2U9IiMwMjVEQTMiIHN0cm9rZS13aWR0aD0iMS41Ii8+DQogICAgICAgIDxwYXRoIHN0cm9rZT0iIzAyNURBMyIgc3Ryb2tlLWxpbmVjYXA9InJvdW5kIiBzdHJva2UtbGluZWpvaW49InJvdW5kIiBzdHJva2Utd2lkdGg9IjIiIGQ9Ik0xMiAxMS41djUiLz4NCiAgICAgICAgPGNpcmNsZSBjeD0iMTIiIGN5PSI4LjI1IiByPSIxLjI1IiBmaWxsPSIjMDI1REEzIi8+DQogICAgPC9nPg0KPC9zdmc+DQo=",error,,,0,false,,,0,0,"InvalidSchema: No connection adapters were found for 'data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIyNCIgaGVpZ2h0PSIyNCIgdmlld0JveD0iMCAwIDI0IDI0Ij4NCiAgICA8ZyBmaWxsPSJub25lIiBmaWxsLXJ1bGU9ImV2ZW5vZGQiPg0KICAgICAgICA8Y2lyY2xlIGN4PSIxMiIgY3k9IjEyIiByPSI4IiBzdHJva2U9IiMwMjVEQTMiIHN0cm9rZS13aWR0aD0iMS41Ii8+DQogICAgICAgIDxwYXRoIHN0cm9rZT0iIzAyNURBMyIgc3Ryb2tlLWxpbmVjYXA9InJvdW5kIiBzdHJva2UtbGluZWpvaW49InJvdW5kIiBzdHJva2Utd2lkdGg9IjIiIGQ9Ik0xMiAxMS41djUiLz4NCiAgICAgICAgPGNpcmNsZSBjeD0iMTIiIGN5PSI4LjI1IiByPSIxLjI1IiBmaWxsPSIjMDI1REEzIi8+DQogICAgPC9nPg0KPC9zdmc+DQo='",
2014Q4_yuantaetfs_basic_information_20211129022344_7,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,wayback_pdf_snapshot,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,http_non_ok,404,text/html,145761,false,,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_7,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_pdf_url,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF申購撤回申請書.pdf,http_ok,200,text/html; charset=utf-8,1299479,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_7_original_pdf_url.html,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_8,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,wayback_pdf_snapshot,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf,http_non_ok,404,text/html,145759,false,,,0,0,,
2014Q4_yuantaetfs_basic_information_20211129022344_8,2014Q4,https://web.archive.org/web/20211129022344id_/https://www.yuantaetfs.com/product/detail/0050/Basic_information,original_pdf_url,https://www.yuantaetfs.com/product/detail/0050/\u002F\u002Fapi.yuantafunds.com\u002FECImage\u002FETFBackstage\u002Ffile\u002FETFFileDownload\u002FETF買回撤回申請書.pdf,http_ok,200,text/html; charset=utf-8,1299516,false,outputs/radar_tw50_0050_archived_html_crawler_201411_202312_20260629/raw_sources/2014Q4_yuantaetfs_basic_information_20211129022344_8_original_pdf_url.html,,0,0,,
