path,size_mb,reason,restore_source,approval_required,delete_executed,move_executed,compress_executed
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20240624F01.pdf,0.62,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20240624F01.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20250619F04.pdf,4.139,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2024_1560_20250619F04.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2025_1560_20250619F01.pdf,0.929,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/1560_TW_2025_1560_20250619F01.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20240530F01.pdf,0.96,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20240530F01.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20250529F04.pdf,3.955,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2024_2308_20250529F04.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2025_2308_20250529F01.pdf,1.023,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2308_TW_2025_2308_20250529F01.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20240612F01.pdf,1.768,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20240612F01.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20250528F04.pdf,2.441,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2024_2356_20250528F04.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2025_2356_20250528F01.pdf,1.753,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2356_TW_2025_2356_20250528F01.pdf,true,false,false,false
outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2382_TW_2024_2382_20250613F04.pdf,3.357,raw_source candidate from radar_dynamic_pool1_mops_document_extraction_v1_20260704,outputs/radar_dynamic_pool1_mops_document_extraction_v1_20260704/raw_sources/pdf/2382_TW_2024_2382_20250613F04.pdf,true,false,false,false
