effective_date,event_type,ticker,name,index_name,source_date,source_title,source_url,source_type,exact_or_proxy,accepted,blocked_reason
2023-09-18,delete,1402.TW,遠東新,臺灣50指數,2023-09-01,tip_764_tw,,official_technical_notice,exact_candidate,True,
2023-09-18,delete,1605.TW,華新,臺灣50指數,2023-09-01,tip_764_tw,,official_technical_notice,exact_candidate,True,
2023-09-18,delete,2615.TW,萬海,臺灣50指數,2023-09-01,tip_764_tw,,official_technical_notice,exact_candidate,True,
2023-09-18,delete,2609.TW,陽明,臺灣50指數,2023-09-01,tip_764_tw,,official_technical_notice,exact_candidate,True,
2024-03-18,add,3661.TW,世芯-KY,臺灣50指數,2024-03-01,tip_834_tw,,official_technical_notice,exact_candidate,True,
2024-03-18,delete,9910.TW,豐泰,臺灣50指數,2024-03-01,tip_834_tw,,official_technical_notice,exact_candidate,True,
2024-06-24,add,3017.TW,奇鋐,臺灣50指數,2024-06-07,tip_883_tw,,official_technical_notice,exact_candidate,True,
2024-06-24,delete,2801.TW,彰銀,臺灣50指數,2024-06-07,tip_883_tw,,official_technical_notice,exact_candidate,True,
2024-09-23,add,6446.TW,藥華藥,臺灣50指數,2024-09-06,tip_918_tw,,official_technical_notice,exact_candidate,True,
2024-09-23,delete,2408.TW,南亞科,臺灣50指數,2024-09-06,tip_918_tw,,official_technical_notice,exact_candidate,True,
2024-12-23,add,2609.TW,陽明,臺灣50指數,2024-12-06,tip_961_tw,,official_technical_notice,exact_candidate,True,
2024-12-23,delete,1590.TW,亞德客-KY,臺灣50指數,2024-12-06,tip_961_tw,,official_technical_notice,exact_candidate,True,
