file,source_url,source_title,download_status,parse_status,event_rows,accepted_event_rows,exact_or_proxy
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1002_tw.pdf,,tip_1002_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1055_tw.pdf,,tip_1055_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1105_tw.pdf,,tip_1105_tw,provided_to_core,parsed,4,4,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1156_tw.pdf,,tip_1156_tw,provided_to_core,parsed,8,8,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1170_tw.pdf,,tip_1170_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1173_tw.pdf,,tip_1173_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1199_tw.pdf,,tip_1199_tw,provided_to_core,parsed,10,10,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1205_tw.pdf,,tip_1205_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1206_tw.pdf,,tip_1206_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1215_tw.pdf,,tip_1215_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1217_tw.pdf,,tip_1217_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1262_tw.pdf,,tip_1262_tw,provided_to_core,parsed,8,8,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1270_tw.pdf,,tip_1270_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1275_tw.pdf,,tip_1275_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_1276_tw.pdf,,tip_1276_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_569_tw.pdf,,tip_569_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_604_tw.pdf,,tip_604_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_629_tw.pdf,,tip_629_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_654_tw.pdf,,tip_654_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_683_tw.pdf,,tip_683_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_719_tw.pdf,,tip_719_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_764_tw.pdf,,tip_764_tw,provided_to_core,parsed,8,8,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_800_tw.pdf,,tip_800_tw,provided_to_core,parsed_no_tw50_event,0,0,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_834_tw.pdf,,tip_834_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_883_tw.pdf,,tip_883_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_918_tw.pdf,,tip_918_tw,provided_to_core,parsed,2,2,exact_candidate
C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\data\formal_sources\pool2_tw50_exact_pit_sources_20260624_batch01\technical_notices_pdf\tip_961_tw.pdf,,tip_961_tw,provided_to_core,parsed,2,2,exact_candidate
