source_id,ticker,source_route,source_url,payload,payload_hash,raw_cache_path,raw_sha256,retrieved_at_utc,route_status,retry_count,route_error,response_bytes,source_quality,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
twse_twt48u_date_probe_20150504,,twse_exright_probe,https://www.twse.com.tw/exchangeReport/TWT48U?response=json&date=20150504,GET,749b4d92afbbd692e8fbf1d6927e421a522a1bc95cb233ed78990c74f57c8f61,raw_sources\twse_twt48u_date_probe_20150504.json,be2dda0c01fa8a3ec33993ebeb5557a100d721717b8c2213ca0697c4afc61226,2026-07-08T09:24:25+00:00,fetched,0,,71165,official_twse_exright_current_route_probe_not_pit_history,0,False,False,False,False,False,False,False,True,False
twse_twt49u_date_probe_20150504,,twse_exright_probe,https://www.twse.com.tw/rwd/zh/exRight/TWT49U?response=json&date=20150504,GET,ce8f60becc3d66ab065224bd55d3d2c67fcf22b56d225ad6ca1b36a7e801e945,raw_sources\twse_twt49u_date_probe_20150504.json,44ab95d39df6893f26f2b6ba025374edc7a54f41a34f3848acda922cd62ce5b6,2026-07-08T09:24:26+00:00,fetched,0,,10275,official_twse_exright_current_route_probe_not_pit_history,0,False,False,False,False,False,False,False,True,False
mops_t05st01_2316_2015-04-30_104_04,2316,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""04"", ""year"": ""104""}",6279c990581a03a56a9484f8eaf8e933d90e6fb9a1813a192ada0feb485061e6,raw_sources\mops_t05st01_2316_2015-04-30_104_04.json,2d48f34c8606489a1f0641f1527cc40763519e0df475e97e5c12dc0a3b5db24e,2026-07-08T09:24:26+00:00,fetched,0,,4468,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_2316_2015-04-30_104_05,2316,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""05"", ""year"": ""104""}",72efe2310fd67cf8b6842f0bfba25044e29678820c0bd5f73cf18211a7d35d57,raw_sources\mops_t05st01_2316_2015-04-30_104_05.json,7e692320579bd16d84159d4ebfa05d552849b48dd080c352bf6d6ca2aee5295d,2026-07-08T09:24:26+00:00,fetched,0,,3318,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_2316_2015-04-30_104_06,2316,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""2316"", ""firstDay"": """", ""lastDay"": """", ""month"": ""06"", ""year"": ""104""}",83e2bb841134bc1c1f52342a5b782da92b56db2490e10fe43fa82ff5d216e247,raw_sources\mops_t05st01_2316_2015-04-30_104_06.json,ca2a573d3dc199eabe5e3c06acafab9bf9d88b108102a022e9e1ada1501e6501,2026-07-08T09:24:26+00:00,fetched,0,,2666,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_6143_2015-10-08_104_09,6143,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""6143"", ""firstDay"": """", ""lastDay"": """", ""month"": ""09"", ""year"": ""104""}",c590a689945c035435f6bdd58e5c23d2ce91851777576da3fed7ddec5b2f76cd,raw_sources\mops_t05st01_6143_2015-10-08_104_09.json,53050a95878774293b5b81b4b2471484d184dcde7b8ca4011427a667cbbf01d8,2026-07-08T09:24:27+00:00,fetched,0,,1271,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_6143_2015-10-08_104_10,6143,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""6143"", ""firstDay"": """", ""lastDay"": """", ""month"": ""10"", ""year"": ""104""}",46190c800ff48b4ae861836dd566760be6a811532009024265147ed890ac0227,raw_sources\mops_t05st01_6143_2015-10-08_104_10.json,03baa0c1e5dafca1093706394f6b3a21add350b297f2ff26a0e3926ed47d0c01,2026-07-08T09:24:27+00:00,fetched,0,,1283,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_6143_2015-10-08_104_11,6143,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""6143"", ""firstDay"": """", ""lastDay"": """", ""month"": ""11"", ""year"": ""104""}",43c7e83bb712d7f40fea7827f5d66319bca90758199cc4e91935ebb1b53e9894,raw_sources\mops_t05st01_6143_2015-10-08_104_11.json,c60467d3db66468fd580ae78e9f48f483aacfdd315aef44af37fdce195e253f6,2026-07-08T09:24:27+00:00,fetched,0,,1051,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_8433_2015-10-16_104_09,8433,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""8433"", ""firstDay"": """", ""lastDay"": """", ""month"": ""09"", ""year"": ""104""}",f00ec850e6bdc76faa2583d997863dfa1e8237a113b9092321d45f5bb23c154c,raw_sources\mops_t05st01_8433_2015-10-16_104_09.json,fcc6ab6cecd10b1cb25867049377a0975accdb8d06d7a0e2b16af8c58786b38b,2026-07-08T09:24:27+00:00,fetched,0,,982,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_8433_2015-10-16_104_10,8433,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""8433"", ""firstDay"": """", ""lastDay"": """", ""month"": ""10"", ""year"": ""104""}",d5bbec6ab7c1454c1765dd1f3331e6c0dec4a195eda05976fb7b89fe9e9b6a5c,raw_sources\mops_t05st01_8433_2015-10-16_104_10.json,6bfc8bc19c2010da48fb106cb3c534a4dbb54b314f749aa46cea5e7bb50fce95,2026-07-08T09:24:28+00:00,fetched,0,,982,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_8433_2015-10-16_104_11,8433,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""8433"", ""firstDay"": """", ""lastDay"": """", ""month"": ""11"", ""year"": ""104""}",512822ef4ec555701d9882196e248ec157d7d7a261325330c4a97d121c55645f,raw_sources\mops_t05st01_8433_2015-10-16_104_11.json,d391a9ba0337806749141bbdb1d7c05579bf4696add61870a3be5a1ee2a6b17f,2026-07-08T09:24:28+00:00,fetched,0,,1481,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_3324_2016-02-26_105_02,3324,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""3324"", ""firstDay"": """", ""lastDay"": """", ""month"": ""02"", ""year"": ""105""}",44d7cd4452fa8b8b8876189005602029d0a56b030c4bffc20d4bbd46ff269710,raw_sources\mops_t05st01_3324_2016-02-26_105_02.json,bc54be7cdba565ae3cb596aaad29a4a10b0c7a2768e33b26b748cb0177c28320,2026-07-08T09:24:29+00:00,fetched,0,,1076,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_3324_2016-02-26_105_03,3324,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""3324"", ""firstDay"": """", ""lastDay"": """", ""month"": ""03"", ""year"": ""105""}",741c57b3b1025418f1018eafb91f34ab4d883efe78d87e4748a80bc3acd79bb4,raw_sources\mops_t05st01_3324_2016-02-26_105_03.json,0cd6d38fbf2a7b506e58018c51c44e30ba37d54d63489eacc82822ab27b186fe,2026-07-08T09:24:29+00:00,fetched,0,,2354,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_3324_2016-02-26_105_04,3324,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""3324"", ""firstDay"": """", ""lastDay"": """", ""month"": ""04"", ""year"": ""105""}",8797c2ea6fadf343610a41b758972792fd6251b2ec4ec1392ef0d134b1d4cb5d,raw_sources\mops_t05st01_3324_2016-02-26_105_04.json,4c846d329a3ea52a546cf3ec191ad6032b126f999479006240916f0b7b8e267a,2026-07-08T09:24:29+00:00,fetched,0,,991,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_3346_2017-02-03_106_01,3346,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""3346"", ""firstDay"": """", ""lastDay"": """", ""month"": ""01"", ""year"": ""106""}",f7f57b2587ee766465668eb00dc03b071cf0afd74b5507e0139e9a083e2e1bf5,raw_sources\mops_t05st01_3346_2017-02-03_106_01.json,14f657a244a86249ca369e53aeedf7838b0ebb32c29b40eadc0209ede7470075,2026-07-08T09:24:29+00:00,fetched,0,,1332,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_3346_2017-02-03_106_02,3346,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""3346"", ""firstDay"": """", ""lastDay"": """", ""month"": ""02"", ""year"": ""106""}",51fb2b8def73c98ad5ba329978821cceb45fbac4f6be7aae7bde652287eae510,raw_sources\mops_t05st01_3346_2017-02-03_106_02.json,20e5de7a42c683f85bdab0ba9a9bc6d9542fff6cf5891d50124b2b811867cf10,2026-07-08T09:24:29+00:00,fetched,0,,1228,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
mops_t05st01_3346_2017-02-03_106_03,3346,t05st01,https://mops.twse.com.tw/mops/api/t05st01,"{""companyId"": ""3346"", ""firstDay"": """", ""lastDay"": """", ""month"": ""03"", ""year"": ""106""}",d023d94a4a7f14fa3c446093c3ff61da7e2a866e572e2df035f8b061e2edb099,raw_sources\mops_t05st01_3346_2017-02-03_106_03.json,da2cd1f477500453d6459d2723b77a20991a789304c6eee970b8513dc10c1935,2026-07-08T09:24:30+00:00,fetched,0,,2665,official_mops_material_information_api,0,False,False,False,False,False,False,False,True,False
