signal_date,entry_date,exit_date,ticker,blocked_reason,bounded_query_window,route_count,source_quality,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2015-04-30,2015-05-04,2015-05-11,2316,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2015-04-04~2015-06-11,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2015-10-08,2015-10-12,2015-10-19,6143,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2015-09-12~2015-11-19,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2015-10-16,2015-10-19,2015-10-26,8433,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2015-09-19~2015-11-26,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2016-02-26,2016-03-01,2016-03-07,3324,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2016-02-01~2016-04-07,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2017-02-03,2017-02-06,2017-02-13,3346,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2017-01-06~2017-03-13,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2017-05-12,2017-05-15,2017-05-22,1569,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2017-04-15~2017-06-22,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2017-10-27,2017-10-30,2017-11-06,6121,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2017-09-30~2017-12-06,4,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2017-11-24,2017-11-27,2017-12-04,6573,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2017-10-27~2018-01-04,4,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2018-03-16,2018-03-19,2018-03-26,6150,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2018-02-19~2018-04-26,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2018-06-08,2018-06-11,2018-06-19,3090,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2018-05-11~2018-07-19,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2018-06-29,2018-07-02,2018-07-09,8163,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2018-06-02~2018-08-09,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2019-12-06,2019-12-09,2019-12-16,8040,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2019-11-09~2020-01-16,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2021-06-18,2021-06-21,2021-06-28,2636,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2021-05-21~2021-07-28,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2021-07-09,2021-07-12,2021-07-19,2351,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2021-06-12~2021-08-19,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2021-12-30,2022-01-03,2022-01-10,8478,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2021-12-03~2022-02-10,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
2022-08-12,2022-08-15,2022-08-22,6796,no_corporate_action_candidate_found_in_mops_t05st01_bounded_window,2022-07-15~2022-09-22,3,official_mops_bounded_probe_no_candidate,0,False,False,False,False,False,False,False,True,False
