period,ticker,decision_date,requested_execution_date,market_probe,http_status,schema_ok,response_rows,exact_target_rows,source_url,source_hash,raw_cache_path,cache_reused,future_data_violation_count
P1,2325,2017-09-14,2017-09-15,TWSE,200,True,22,1,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20170901&stockNo=2325&response=json,ca1aef8e166ba1cda3f84058e6532bcad484b9be7b321d05147d08360651bc0e,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_005_20260715\raw_audit_samples\2325_TWSE_2017-09.json,True,0
P1,2325,2017-09-14,2017-09-15,TPEx,200,False,0,0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=2325&date=2017%2F09%2F01&response=json,6bf2adf4f50ea8d4c477a5b10dbbfca6e4262885093289464e89edfd73aba808,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_p2_ma_slope_cd50_action_leg_frontier_iteration_005_20260715\raw_audit_samples\2325_TPEx_2017-09.json,True,0
