variant_id,period,decision_date,ticker,role,requested_execution_date,market,trusted_raw_close,trusted_raw_source_url,trusted_raw_source_hash,year_month,download_authority
S01_CD2,P2,2023-05-24,6244,sell,2023-05-25,TPEx,,,,2023-05,frontier_exact_leg_only
S01_CD3,P2,2023-05-15,6244,buy,2023-05-16,TPEx,35.0,https://query1.finance.yahoo.com/v8/finance/chart/6244.TWO?period1=1657497600&period2=1783641600&interval=1d&events=div%2Csplits,6cc7c65cc901785a4580ee9643be06ff607e6df9f79bc248c93a06c1ce57a804,2023-05,frontier_exact_leg_only
S02_CD7,P1,2016-10-06,3008,sell,2016-10-07,TWSE,,,,2016-10,frontier_exact_leg_only
S02_CD7,P1,2016-10-06,3596,buy,2016-10-07,TWSE,63.289642333984375,https://query1.finance.yahoo.com/v8/finance/chart/3596.TW?period1=1443052800&period2=1659744000&interval=1d&events=div%2Csplits,d184965cb82c8dae2a397be8df7651db1579105a3d4f91775dc7aefab1b69128,2016-10,frontier_exact_leg_only
S03_CD7,P1,2016-09-30,3008,sell,2016-10-03,TWSE,,,,2016-10,frontier_exact_leg_only
S03_CD7,P1,2016-09-30,2883,buy,2016-10-03,TWSE,7.881186008453369,https://query1.finance.yahoo.com/v8/finance/chart/2883.TW?period1=1410393600&period2=1625875200&interval=1d&events=div%2Csplits,2145b67e9530dbb6cdb2374433669fa979ddccc90c1e1f5a01386ea56968c29b,2016-10,frontier_exact_leg_only
S04_CD3,P1,2016-05-18,2357,sell,2016-05-19,TWSE,254.5,https://query1.finance.yahoo.com/v8/finance/chart/2357.TW?period1=1410393600&period2=1670630400&interval=1d&events=div%2Csplits,024dccd69a98ef780315998fef5ae75f933fb8f7a49929ef0b8457fea0f7eb20,2016-05,frontier_exact_leg_only
S04_CD3,P1,2016-05-18,5880,buy,2016-05-19,TWSE,9.602890014648438,https://query1.finance.yahoo.com/v8/finance/chart/5880.TW?period1=1412208000&period2=1667606400&interval=1d&events=div%2Csplits,2254e53143b110828ab2129c4f0f952acee4af15af22a2c91be64175ee399bd0,2016-05,frontier_exact_leg_only
S04_CD5,P1,2016-07-06,2881,sell,2016-07-07,TWSE,27.61981773376465,https://query1.finance.yahoo.com/v8/finance/chart/2881.TW?period1=1410393600&period2=1649462400&interval=1d&events=div%2Csplits,ba1cb30d3fe6611c92fbf81bad36c701d200c8eaa6ca4f6588d594b0c0fe77e0,2016-07,frontier_exact_leg_only
S04_CD7,P1,2017-03-02,2428,sell,2017-03-03,TWSE,67.0,https://query1.finance.yahoo.com/v8/finance/chart/2428.TW?period1=1463011200&period2=1615593600&interval=1d&events=div%2Csplits,4c7d09ea17e3b653884f21913d44695dc8445290da6a81d40beded20571d47b5,2017-03,frontier_exact_leg_only
