variant_id,period,decision_date,ticker,role,requested_execution_date,reason
S01_CD2,P1,2018-01-23,2455,sell,2018-01-24,missing_official_raw_execution_close
S01_CD2,P2,2023-05-24,6244,sell,2023-05-25,missing_official_raw_execution_close
S01_CD3,P2,2023-05-15,6244,buy,2023-05-16,missing_official_raw_execution_close
S01_CD5,P1,2015-11-09,1102,sell,2015-11-10,missing_official_raw_execution_close
S01_CD7,P1,2015-12-04,4162,sell,2015-12-07,missing_official_raw_execution_close
S01_CD10,P1,2015-08-26,5871,sell,2015-08-27,missing_official_raw_execution_close
S02_CD2,P1,2015-07-22,2231,sell,2015-07-23,missing_official_raw_execution_close
S02_CD2,P2,2023-06-30,2882,sell,2023-07-03,missing_official_raw_execution_close
S02_CD3,P1,2015-07-23,2231,sell,2015-07-24,missing_official_raw_execution_close
S02_CD5,P1,2015-10-30,2882,sell,2015-11-02,missing_official_raw_execution_close
S02_CD7,P1,2016-10-06,3008,sell,2016-10-07,missing_official_raw_execution_close
S02_CD7,P1,2016-10-06,3596,buy,2016-10-07,missing_official_raw_execution_close
S02_CD7,P2,2023-07-05,6643,sell,2023-07-06,missing_official_raw_execution_close
S02_CD10,P1,2015-11-03,4904,sell,2015-11-04,missing_official_raw_execution_close
S02_CD10,P2,2023-08-09,4763,sell,2023-08-10,missing_official_raw_execution_close
S03_CD5,P1,2015-06-30,2377,sell,2015-07-01,missing_official_raw_execution_close
S03_CD7,P1,2016-09-30,3008,sell,2016-10-03,missing_official_raw_execution_close
S03_CD7,P1,2016-09-30,2883,buy,2016-10-03,missing_official_raw_execution_close
S03_CD7,P2,2023-07-25,6643,sell,2023-07-26,missing_official_raw_execution_close
S04_CD2,P2,2023-09-26,3013,sell,2023-09-27,missing_official_raw_execution_close
S04_CD3,P1,2016-05-18,2357,sell,2016-05-19,missing_official_raw_execution_close
S04_CD3,P1,2016-05-18,5880,buy,2016-05-19,missing_official_raw_execution_close
S04_CD3,P2,2023-10-04,2206,sell,2023-10-05,missing_official_raw_execution_close
S04_CD5,P1,2016-07-06,2881,sell,2016-07-07,missing_official_raw_execution_close
S04_CD5,P1,2016-07-06,2891,buy,2016-07-07,missing_official_raw_execution_close
S04_CD5,P2,2023-10-18,3013,sell,2023-10-19,missing_official_raw_execution_close
S04_CD7,P1,2017-03-02,2428,sell,2017-03-03,missing_official_raw_execution_close
S04_CD7,P1,2017-03-02,2885,buy,2017-03-03,missing_official_raw_execution_close
S04_CD7,P2,2023-10-20,6409,sell,2023-10-23,missing_official_raw_execution_close
S04_CD10,P1,2019-05-13,2328,sell,2019-05-14,missing_official_raw_execution_close
S04_CD10,P2,2023-08-11,2206,sell,2023-08-14,missing_official_raw_execution_close
S05_CD2,P1,2015-07-10,8150,sell,2015-07-13,missing_official_raw_execution_close
S05_CD2,P2,2023-08-30,1504,sell,2023-08-31,missing_official_raw_execution_close
S05_CD3,P1,2016-07-18,3474,sell,2016-07-25,missing_official_raw_execution_close
S05_CD3,P1,2016-07-18,2231,buy,2016-07-19,missing_official_raw_execution_close
S05_CD3,P2,2024-01-18,8936,sell,2024-01-19,missing_official_raw_execution_close
S05_CD5,P1,2016-05-10,4915,sell,2016-05-11,missing_official_raw_execution_close
S05_CD5,P1,2016-05-10,5388,buy,2016-05-11,missing_official_raw_execution_close
S05_CD5,P2,2024-04-26,2338,sell,2024-04-29,missing_official_raw_execution_close
S05_CD7,P1,2016-04-21,3017,sell,2016-04-22,missing_official_raw_execution_close
S05_CD7,P1,2016-04-21,2892,buy,2016-04-22,missing_official_raw_execution_close
S05_CD7,P2,2024-01-08,2402,sell,2024-01-09,missing_official_raw_execution_close
S05_CD10,P1,2016-04-22,1527,sell,2016-04-25,missing_official_raw_execution_close
S05_CD10,P2,2023-08-07,5871,sell,2023-08-08,missing_official_raw_execution_close
S06_CD2,P1,2015-08-19,5347,sell,2015-08-20,missing_official_raw_execution_close
S06_CD2,P2,2023-05-18,6643,sell,2023-05-19,missing_official_raw_execution_close
S06_CD3,P1,2015-06-22,9914,sell,2015-06-23,missing_official_raw_execution_close
S06_CD5,P2,2023-07-21,2912,sell,2023-07-24,missing_official_raw_execution_close
S06_CD7,P1,2015-08-21,2377,sell,2015-08-24,missing_official_raw_execution_close
S06_CD7,P2,2023-04-20,4114,sell,2023-04-21,missing_official_raw_execution_close
S06_CD10,P1,2015-11-02,1227,sell,2015-11-03,missing_official_raw_execution_close
S06_CD10,P2,2023-05-19,1605,sell,2023-05-22,missing_official_raw_execution_close
S07_CD2,P1,2016-06-28,2105,sell,2016-06-29,missing_official_raw_execution_close
S07_CD2,P1,2016-06-28,2618,buy,2016-06-29,missing_official_raw_execution_close
S07_CD3,P1,2017-08-17,4971,sell,2017-08-18,missing_official_raw_execution_close
S07_CD5,P1,2016-04-22,3044,sell,2016-04-25,missing_official_raw_execution_close
S07_CD5,P1,2016-04-22,6285,buy,2016-04-25,missing_official_raw_execution_close
S07_CD7,P1,2016-04-26,2382,sell,2016-04-27,missing_official_raw_execution_close
S07_CD7,P1,2016-04-26,4915,buy,2016-04-27,missing_official_raw_execution_close
S07_CD10,P1,2018-08-07,1303,sell,2018-08-08,missing_official_raw_execution_close
S07_CD10,P2,2023-09-22,8255,sell,2023-09-25,missing_official_raw_execution_close
S08_CD2,P1,2016-04-22,2454,sell,2016-04-25,missing_official_raw_execution_close
