ticker,name,market,report_period,match_status,market_available_at,accepted_subject,accepted_match_status,blocked_reason,after_close_next_trading_day_policy,quarter_end_date_used,query_response_datetime_used,conservative_deadline_proxy_used,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,accepted,115/05/11 14:41:50,公告本公司董事會通過115年第一季合併財務報表。,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q4,accepted,115/03/09 18:57:44,公告本公司董事會決議盈餘轉增資發行新股案,accepted_detail_strict,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q3,accepted,114/11/10 20:24:38,公告本公司董事會通過114年第三季合併財務報表。,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q2,accepted,114/08/11 15:26:24,公告本公司董事會通過114年第二季合併財務報表。,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1570,力肯,TPEx,115Q1,accepted,115/04/28 15:37:19,公告本公司董事會通過115年第1季合併財報務告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q4,accepted,115/02/25 17:27:53,公告本公司董事會通過114年度合併財報務告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q3,accepted,114/11/13 13:37:27,公告本公司董事會通過114年第3季合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q2,accepted,114/08/12 14:13:35,公告本公司董事會通過114年第2季合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1777,生泰,TPEx,115Q1,accepted,115/05/07 15:15:33,公告本公司115年第1季財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q4,accepted,115/02/23 17:31:01,公告本公司114年度財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q3,accepted,114/11/05 16:47:51,公告本公司114年第3季財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q2,accepted,114/08/04 16:24:48,公告本公司114年第2季財務報告業經董事會決議通過,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,115Q1,accepted,115/05/04 13:56:54,公告本公司董事會決議通過之115年第一季合併財務報表,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q4,accepted,115/03/09 14:32:51,公告本公司董事會通過114年度合併財務報表,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q3,accepted,114/11/06 13:48:22,公告本公司董事會決議通過之114年第三季合併財務報表,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q2,accepted,114/08/06 14:17:28,公告本公司董事會決議通過之114年第二季合併財務報表,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2073,雄順,TPEx,115Q1,accepted,115/05/06 16:21:21,公告本公司董事會通過115年第一季財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q4,accepted,115/03/11 16:51:29,公告本公司董事會通過114年度財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q3,accepted,114/11/10 15:44:50,公告本公司董事會通過114年第三季財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q2,accepted,114/08/05 15:37:01,公告本公司董事會通過114年第二季財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,115Q1,accepted,115/05/06 15:14:39,公告本公司董事會通過115年第1季合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,114Q4,accepted,115/03/03 17:50:33,公告本公司董事會通過114年度合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,114Q3,accepted,114/11/07 16:12:09,公告本公司董事會通過114年第3季合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,114Q2,accepted,114/08/01 16:57:30,公告本公司董事會通過114年第2季合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2745,五福,TPEx,115Q1,accepted,115/05/04 15:23:09,公告本公司董事會通過115年度第一季財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q4,accepted,115/03/09 14:35:42,公告本公司董事會通過114年度財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q3,blocked_unmatched_or_ambiguous,,,,accepted_candidate_count=0,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q2,blocked_unmatched_or_ambiguous,,,,accepted_candidate_count=0,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
2937,集雅社,TPEx,115Q1,accepted,115/05/05 16:51:29,公告本公司董事會通過115年第一季合併財務報告,accepted_direct_financial_report_detail,,required; Core calendar join needed,False,False,False,False,False,False,False,False,False,True,False
