ticker,market,report_period,blocked_reason,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2745,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
2745,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
3152,TPEx,114Q4,accepted_candidate_count=0,False,False,False,False,False,False,True,False
3339,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
3339,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
3374,TPEx,115Q1,accepted_candidate_count=2,False,False,False,False,False,False,True,False
3489,TPEx,115Q1,accepted_candidate_count=2,False,False,False,False,False,False,True,False
3489,TPEx,114Q4,accepted_candidate_count=2,False,False,False,False,False,False,True,False
3489,TPEx,114Q3,accepted_candidate_count=2,False,False,False,False,False,False,True,False
3489,TPEx,114Q2,accepted_candidate_count=2,False,False,False,False,False,False,True,False
3630,TPEx,114Q4,accepted_candidate_count=2,False,False,False,False,False,False,True,False
4401,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
4401,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
4527,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
4527,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
4542,TPEx,115Q1,accepted_candidate_count=2,False,False,False,False,False,False,True,False
4542,TPEx,114Q4,accepted_candidate_count=2,False,False,False,False,False,False,True,False
4542,TPEx,114Q3,accepted_candidate_count=2,False,False,False,False,False,False,True,False
4542,TPEx,114Q2,accepted_candidate_count=2,False,False,False,False,False,False,True,False
4568,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
4568,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
4804,TPEx,114Q4,accepted_candidate_count=2,False,False,False,False,False,False,True,False
5236,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
5236,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
5315,TPEx,115Q1,accepted_candidate_count=2,False,False,False,False,False,False,True,False
5351,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
5351,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
5905,TPEx,115Q1,accepted_candidate_count=0,False,False,False,False,False,False,True,False
5905,TPEx,114Q4,accepted_candidate_count=2,False,False,False,False,False,False,True,False
5905,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
5905,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
6140,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
6140,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
6156,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
6156,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
6263,TPEx,114Q4,accepted_candidate_count=0,False,False,False,False,False,False,True,False
7782,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
7782,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
7839,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8043,TPEx,115Q1,accepted_candidate_count=2,False,False,False,False,False,False,True,False
8043,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8043,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8093,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8093,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8147,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8147,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8924,TPEx,114Q3,accepted_candidate_count=0,False,False,False,False,False,False,True,False
8924,TPEx,114Q2,accepted_candidate_count=0,False,False,False,False,False,False,True,False
