ticker,name,market,report_period,t164sb05_status,t164sb03_status,official_asof_match_status,operating_cash_flow,investing_cash_flow,capex_proxy,inventory,receivables_trade,current_assets,current_liabilities,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,code=200 rows=57,code=200 rows=65,accepted,11292,-66091,-5319,146495,338871,1220776,610593,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q4,code=200 rows=70,code=200 rows=64,accepted,219924,-26038,-22808,153449,320249,1182791,607739,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q3,code=200 rows=65,code=200 rows=65,accepted,158439,13570,-18016,166945,346826,1105707,558940,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q2,code=200 rows=59,code=200 rows=66,accepted,91127,-15979,-11404,163721,309351,1094492,577501,False,False,False,False,False,False,True,False
1570,力肯,TPEx,115Q1,code=200 rows=53,code=200 rows=53,accepted,31996,-359,-947,221402,88222,850348,83186,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q4,code=200 rows=55,code=200 rows=48,accepted,12124,324201,-4417,249836,86481,846338,93114,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q3,code=200 rows=54,code=200 rows=48,accepted,-8612,29251,-3818,232171,120702,840831,96000,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q2,code=200 rows=53,code=200 rows=53,accepted,-32524,-11875,-3578,259557,126963,866182,188427,False,False,False,False,False,False,True,False
1777,生泰,TPEx,115Q1,code=200 rows=42,code=200 rows=52,accepted,44417,-14446,-9682,360810,142805,1618432,474354,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q4,code=200 rows=53,code=200 rows=54,accepted,559492,-58305,-47681,340461,103148,1531253,304490,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q3,code=200 rows=50,code=200 rows=52,accepted,303442,-37141,-27339,351437,161425,1254191,137342,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q2,code=200 rows=48,code=200 rows=55,accepted,230555,-29645,-21127,403340,161120,1478709,465385,False,False,False,False,False,False,True,False
1815,富喬,TPEx,115Q1,code=200 rows=60,code=200 rows=56,accepted,444008,-1236330,-993118,2092790,2302955,6997720,2083591,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q4,code=200 rows=67,code=200 rows=58,accepted,694714,-2325518,-2402175,2058460,2053800,6650606,2399258,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q3,code=200 rows=62,code=200 rows=57,accepted,412100,-1531344,-1580119,1852927,1798819,5370423,3650458,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q2,code=200 rows=64,code=200 rows=58,accepted,224811,-688950,-839611,1774302,1520072,4910842,2120525,False,False,False,False,False,False,True,False
2073,雄順,TPEx,115Q1,code=200 rows=44,code=200 rows=53,accepted,17632,-48399,-4399,3043,44888,196747,193461,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q4,code=200 rows=50,code=200 rows=51,accepted,67672,-50582,-50994,2891,50729,157663,147492,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q3,code=200 rows=51,code=200 rows=52,accepted,54742,-46457,-46869,3715,45136,160513,152715,False,False,False,False,False,False,True,False
2073,雄順,TPEx,114Q2,code=200 rows=50,code=200 rows=50,accepted,42909,-42455,-42493,3746,47589,180309,168155,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,115Q1,code=200 rows=44,code=200 rows=55,accepted,35228,-31820,0,,8207,695646,280925,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,114Q4,code=200 rows=51,code=200 rows=54,accepted,-10455,56255,-214,,8116,664411,294804,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,114Q3,code=200 rows=50,code=200 rows=54,accepted,-18634,7634,-152,,10673,668133,305086,False,False,False,False,False,False,True,False
2719,燦星旅,TPEx,114Q2,code=200 rows=49,code=200 rows=53,accepted,-8491,2873,-126,,10527,711060,331460,False,False,False,False,False,False,True,False
2745,五福,TPEx,115Q1,code=200 rows=45,code=200 rows=51,accepted,-14277,325073,0,,258602,2720730,1477375,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q4,code=200 rows=47,code=200 rows=49,accepted,469085,88169,-10703,,170253,2448049,1643172,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q3,code=200 rows=46,code=200 rows=49,blocked_unmatched_or_ambiguous,230083,-5761,-7351,,194601,2394525,1650104,False,False,False,False,False,False,True,False
2745,五福,TPEx,114Q2,code=200 rows=45,code=200 rows=49,blocked_unmatched_or_ambiguous,232454,1971,-3779,,210494,2460053,1803370,False,False,False,False,False,False,True,False
2937,集雅社,TPEx,115Q1,code=200 rows=51,code=200 rows=54,accepted,-16200,-181,0,1325511,313353,2318223,2078051,False,False,False,False,False,False,True,False
2937,集雅社,TPEx,114Q4,code=200 rows=54,code=200 rows=53,accepted,-5939,-111758,-119471,1173792,925883,2792673,2491304,False,False,False,False,False,False,True,False
2937,集雅社,TPEx,114Q3,code=200 rows=56,code=200 rows=55,accepted,-181241,-63036,-61539,1207621,522314,2424803,2171435,False,False,False,False,False,False,True,False
2937,集雅社,TPEx,114Q2,code=200 rows=56,code=200 rows=55,accepted,64753,-54083,-60513,1208922,276700,1980886,1748196,False,False,False,False,False,False,True,False
3073,天方能源,TPEx,115Q1,code=200 rows=54,code=200 rows=55,accepted,11276,-112003,-123743,19134,91968,411657,437556,False,False,False,False,False,False,True,False
3073,天方能源,TPEx,114Q4,code=200 rows=61,code=200 rows=56,accepted,-85865,-475976,-430342,19134,71140,395933,524547,False,False,False,False,False,False,True,False
3073,天方能源,TPEx,114Q3,code=200 rows=56,code=200 rows=55,accepted,6778,-420888,-388020,19134,7750,324988,386007,False,False,False,False,False,False,True,False
3073,天方能源,TPEx,114Q2,code=200 rows=54,code=200 rows=58,accepted,-38954,-249112,-242617,19134,8114,232380,337124,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,115Q1,code=200 rows=67,code=200 rows=54,accepted,204397,-689023,-163847,5140389,1551919,14458348,6475261,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,114Q4,code=200 rows=73,code=200 rows=54,accepted,4952971,5112280,-697229,4978534,1597432,14556870,5865116,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,114Q3,code=200 rows=69,code=200 rows=53,accepted,3518656,5184521,-560378,4794032,1359670,12726493,4998992,False,False,False,False,False,False,True,False
3105,穩懋,TPEx,114Q2,code=200 rows=64,code=200 rows=53,accepted,1743785,-234470,-292686,4903414,1255322,12226435,5385545,False,False,False,False,False,False,True,False
3152,璟德,TPEx,115Q1,code=200 rows=37,code=200 rows=41,accepted,128939,-361486,-3127,163792,108947,2801063,463523,False,False,False,False,False,False,True,False
3152,璟德,TPEx,114Q4,code=200 rows=44,code=200 rows=42,blocked_unmatched_or_ambiguous,523518,-24834,-48442,125269,98058,2595896,421702,False,False,False,False,False,False,True,False
3152,璟德,TPEx,114Q3,code=200 rows=43,code=200 rows=40,accepted,454871,-164004,-19243,135932,115968,2551523,542465,False,False,False,False,False,False,True,False
3152,璟德,TPEx,114Q2,code=200 rows=39,code=200 rows=40,accepted,287964,278396,-17228,139810,129338,2790224,930221,False,False,False,False,False,False,True,False
3191,雲嘉南,TPEx,115Q1,code=200 rows=48,code=200 rows=54,accepted,-7118,-26566,-26467,42531,77406,208039,35960,False,False,False,False,False,False,True,False
3191,雲嘉南,TPEx,114Q4,code=200 rows=56,code=200 rows=55,accepted,-89015,39592,-4054,53016,47959,220345,35671,False,False,False,False,False,False,True,False
3191,雲嘉南,TPEx,114Q3,code=200 rows=53,code=200 rows=54,accepted,-89801,46998,-3444,44964,64954,226071,35010,False,False,False,False,False,False,True,False
3191,雲嘉南,TPEx,114Q2,code=200 rows=51,code=200 rows=54,accepted,-35966,48832,-2818,40994,48737,231290,42078,False,False,False,False,False,False,True,False
3221,台嘉碩,TPEx,115Q1,code=200 rows=59,code=200 rows=61,accepted,10975,-33080,-28937,521811,376556,1805131,693853,False,False,False,False,False,False,True,False
3221,台嘉碩,TPEx,114Q4,code=200 rows=66,code=200 rows=61,accepted,-1496,-97791,-85127,491865,385289,1822970,720452,False,False,False,False,False,False,True,False
3221,台嘉碩,TPEx,114Q3,code=200 rows=63,code=200 rows=60,accepted,-56969,-72925,-75493,450832,369487,1713584,657848,False,False,False,False,False,False,True,False
3221,台嘉碩,TPEx,114Q2,code=200 rows=60,code=200 rows=60,accepted,-3367,-39693,-34260,438531,325469,1770808,682414,False,False,False,False,False,False,True,False
3252,海灣,TPEx,115Q1,code=200 rows=47,code=200 rows=53,accepted,25723,-29332,-29467,328146,59495,532463,302540,False,False,False,False,False,False,True,False
3252,海灣,TPEx,114Q4,code=200 rows=54,code=200 rows=53,accepted,133222,-139930,-113874,327250,60520,522203,314465,False,False,False,False,False,False,True,False
3252,海灣,TPEx,114Q3,code=200 rows=57,code=200 rows=53,accepted,77210,-74890,-64386,326283,65305,531555,299426,False,False,False,False,False,False,True,False
3252,海灣,TPEx,114Q2,code=200 rows=53,code=200 rows=53,accepted,39548,-15608,-15708,325436,71125,560833,362358,False,False,False,False,False,False,True,False
3285,微端,TPEx,115Q1,code=200 rows=49,code=200 rows=55,accepted,112834,-32216,-302,89299,126504,863551,388288,False,False,False,False,False,False,True,False
3285,微端,TPEx,114Q4,code=200 rows=59,code=200 rows=55,accepted,43982,36359,-1470,87298,107554,718617,234547,False,False,False,False,False,False,True,False
3285,微端,TPEx,114Q3,code=200 rows=57,code=200 rows=55,accepted,8178,33360,-845,74055,110490,664560,201159,False,False,False,False,False,False,True,False
3285,微端,TPEx,114Q2,code=200 rows=56,code=200 rows=55,accepted,6372,33565,-649,79214,88721,680959,237355,False,False,False,False,False,False,True,False
3306,鼎天,TPEx,115Q1,code=200 rows=41,code=200 rows=50,accepted,-42112,99876,-124,205444,155269,942897,388739,False,False,False,False,False,False,True,False
3306,鼎天,TPEx,114Q4,code=200 rows=48,code=200 rows=52,accepted,-255334,33551,-11223,190734,182151,959890,330260,False,False,False,False,False,False,True,False
3306,鼎天,TPEx,114Q3,code=200 rows=47,code=200 rows=51,accepted,-274092,33228,-11547,243530,174709,1088567,470634,False,False,False,False,False,False,True,False
3306,鼎天,TPEx,114Q2,code=200 rows=46,code=200 rows=51,accepted,-346556,134351,-10424,165503,104807,1084575,467580,False,False,False,False,False,False,True,False
