ticker,name,market,report_period,source_universe_quality,historical_pit_universe_ready,runner_scope,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,茂生農經,TPEx,115Q1,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q4,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q3,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1240,茂生農經,TPEx,114Q2,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1570,力肯,TPEx,115Q1,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q4,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q3,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1570,力肯,TPEx,114Q2,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1777,生泰,TPEx,115Q1,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q4,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q3,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1777,生泰,TPEx,114Q2,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1815,富喬,TPEx,115Q1,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q4,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
1815,富喬,TPEx,114Q3,current_or_carried_sampling_proxy_not_historical_pit,False,phase2_tpex_100x4_bounded,False,False,False,False,False,False,True,False
