ticker,market,report_period,announcement_rows_seen,prefilter_pass_rows,detail_fetch_count,premeeting_notice_excluded,wrong_period_subject_excluded,accepted_candidate_count,chosen_match_status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1240,TPEx,115Q1,3,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
1240,TPEx,114Q4,16,9,9,2,0,3,accepted,False,False,False,False,False,False,True,False
1240,TPEx,114Q3,4,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
1240,TPEx,114Q2,9,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
1570,TPEx,115Q1,11,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
1570,TPEx,114Q4,13,7,7,2,2,1,accepted,False,False,False,False,False,False,True,False
1570,TPEx,114Q3,14,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
1570,TPEx,114Q2,3,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
1777,TPEx,115Q1,5,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
1777,TPEx,114Q4,5,3,3,2,0,1,accepted,False,False,False,False,False,False,True,False
1777,TPEx,114Q3,6,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
1777,TPEx,114Q2,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
1815,TPEx,115Q1,9,3,3,1,1,1,accepted,False,False,False,False,False,False,True,False
1815,TPEx,114Q4,14,3,3,2,0,1,accepted,False,False,False,False,False,False,True,False
1815,TPEx,114Q3,10,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
1815,TPEx,114Q2,9,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
2073,TPEx,115Q1,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2073,TPEx,114Q4,5,3,3,2,0,1,accepted,False,False,False,False,False,False,True,False
2073,TPEx,114Q3,2,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2073,TPEx,114Q2,6,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
2719,TPEx,115Q1,5,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2719,TPEx,114Q4,6,3,3,2,0,1,accepted,False,False,False,False,False,False,True,False
2719,TPEx,114Q3,8,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
2719,TPEx,114Q2,6,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
2745,TPEx,115Q1,3,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2745,TPEx,114Q4,8,5,5,2,0,2,accepted,False,False,False,False,False,False,True,False
2745,TPEx,114Q3,10,2,2,1,1,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
2745,TPEx,114Q2,5,0,0,1,1,0,blocked_unmatched_or_ambiguous,False,False,False,False,False,False,True,False
2937,TPEx,115Q1,7,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2937,TPEx,114Q4,13,3,3,2,0,1,accepted,False,False,False,False,False,False,True,False
2937,TPEx,114Q3,5,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
2937,TPEx,114Q2,7,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
3073,TPEx,115Q1,4,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
3073,TPEx,114Q4,10,6,6,2,0,1,accepted,False,False,False,False,False,False,True,False
3073,TPEx,114Q3,9,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
3073,TPEx,114Q2,9,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
3105,TPEx,115Q1,20,5,5,0,0,1,accepted,False,False,False,False,False,False,True,False
