ticker,year_month,market,route,source_url,raw_cache_path,raw_sha256,route_status,route_error,accepted_month_rows,response_bytes,retrieved_at_utc,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
,,local,local_reused_source_package,outputs\radar_vnext_p1_weekly_r6_selected_stock_daily_ohlc_attribution_gap_fill_20260710\p1_weekly_r6_selected_stock_daily_unadjusted_ohlc_rows.csv,,,loaded,,125,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_daily_incumbent_challenger_selected_stock_daily_ohlc_gap_fill_20260710\daily_incumbent_challenger_selected_stock_daily_unadjusted_ohlc_rows.csv,,,loaded,,163,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_revenue_anomaly_soft_penalty_rerank_selected_ohlc_gap_fill_20260710\revenue_anomaly_soft_penalty_rerank_selected_stock_unadjusted_ohlc_rows.csv,,,loaded,,64,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p1_c2_top5_exception_candidate_ohlc_source_fill_20260708\p1_c2_top5_exception_candidate_selected_stock_unadjusted_ohlc_rows.csv,,,loaded,,2021,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p1_c2_weighted_pool80_top5_selected_ticker_ohlc_source_fill_20260708\p1_c2_weighted_pool80_top5_selected_stock_unadjusted_ohlc_rows.csv,,,loaded,,371,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p1_risk_adjusted_rs20_selected_stock_ohlc_gap_fill_20260709\p1_risk_adjusted_rs20_selected_stock_unadjusted_ohlc_rows.csv,,,loaded,,677,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_p2_2023_selected_stock_ohlc_source_gap_fill_20260708\p2_2023_selected_stock_unadjusted_ohlc_rows.csv,,,loaded,,525,,,0,False,False,False,False,False,False,False,True,False
,,local,local_reused_source_package,outputs\radar_vnext_legacy_rs20_selected_stock_price_path_source_package_20260708\selected_stock_price_rows_local_only.csv,,,loaded,,219088,,,0,False,False,False,False,False,False,False,True,False
2330,202303,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20230301&stockNo=2330&response=json,outputs\radar_vnext_weekly_r6_single_position_reconstructed_p2_selected_stock_daily_ohlc_gap_fill_20260710\raw_sources\twse_stock_day_selected_ticker_month_2330_202303.json,0be8303076fab68e7cc6df62a29a4f9d819fb96360a2604842e93aebfa857fab,fetched,,23,3163,2026-07-10T06:27:51+00:00,0,False,False,False,False,False,False,False,True,False
2388,202311,TWSE,twse_stock_day_selected_ticker_month,https://www.twse.com.tw/exchangeReport/STOCK_DAY?date=20231101&stockNo=2388&response=json,outputs\radar_vnext_weekly_r6_single_position_reconstructed_p2_selected_stock_daily_ohlc_gap_fill_20260710\raw_sources\twse_stock_day_selected_ticker_month_2388_202311.json,bd70d1206fc149d963b859cd7ab77296b35afbd340d85ea8961d06d773458b37,fetched,,22,3052,2026-07-10T06:27:51+00:00,0,False,False,False,False,False,False,False,True,False
