symbol,name,theme,reason
1301,台塑,塑化,missing OHLCV in available replay cache
1303,南亞,塑化,missing OHLCV in available replay cache
1304,台聚,塑化,missing OHLCV in available replay cache
1314,中石化,塑化,missing OHLCV in available replay cache
1326,台化,塑化,missing OHLCV in available replay cache
1504,東元,重電/電網,missing OHLCV in available replay cache
1513,中興電,重電/電網,missing OHLCV in available replay cache
1514,亞力,重電/電網,missing OHLCV in available replay cache
1519,華城,重電/電網,missing OHLCV in available replay cache
1605,華新,重電/電網,missing OHLCV in available replay cache
1609,大亞,重電/電網,missing OHLCV in available replay cache
1618,合機,重電/電網,missing OHLCV in available replay cache
1760,寶齡富錦,生技醫療,missing OHLCV in available replay cache
1795,美時,生技醫療,missing OHLCV in available replay cache
2208,台船,軍工/無人機,missing OHLCV in available replay cache
2327,國巨,被動元件,missing OHLCV in available replay cache
2347,聯強,電子通路,missing OHLCV in available replay cache
2375,凱美,被動元件,missing OHLCV in available replay cache
2421,建準,散熱,missing OHLCV in available replay cache
2449,京元電子,封測/CoWoS,missing OHLCV in available replay cache
2467,志聖,半導體設備/耗材,missing OHLCV in available replay cache
2472,立隆電,被動元件,missing OHLCV in available replay cache
2492,華新科,被動元件,missing OHLCV in available replay cache
2603,長榮,航運,missing OHLCV in available replay cache
2605,新興,航運,missing OHLCV in available replay cache
2606,裕民,航運,missing OHLCV in available replay cache
2609,陽明,航運,missing OHLCV in available replay cache
2610,華航,航運,missing OHLCV in available replay cache
2615,萬海,航運,missing OHLCV in available replay cache
2618,長榮航,航運,missing OHLCV in available replay cache
2634,漢翔,軍工/無人機,missing OHLCV in available replay cache
2707,晶華,觀光餐飲,missing OHLCV in available replay cache
2723,美食-KY,觀光餐飲,missing OHLCV in available replay cache
2727,王品,觀光餐飲,missing OHLCV in available replay cache
2731,雄獅,觀光餐飲,missing OHLCV in available replay cache
2739,寒舍,觀光餐飲,missing OHLCV in available replay cache
2748,雲品,觀光餐飲,missing OHLCV in available replay cache
2753,八方雲集,觀光餐飲,missing OHLCV in available replay cache
2880,華南金,金融,missing OHLCV in available replay cache
2881,富邦金,金融,missing OHLCV in available replay cache
2882,國泰金,金融,missing OHLCV in available replay cache
2884,玉山金,金融,missing OHLCV in available replay cache
2885,元大金,金融,missing OHLCV in available replay cache
2886,兆豐金,金融,missing OHLCV in available replay cache
2891,中信金,金融,missing OHLCV in available replay cache
2892,第一金,金融,missing OHLCV in available replay cache
3010,華立,電子通路,missing OHLCV in available replay cache
3017,奇鋐,散熱,missing OHLCV in available replay cache
3023,信邦,電子通路,missing OHLCV in available replay cache
3026,禾伸堂,被動元件,missing OHLCV in available replay cache
3036,文曄,電子通路,missing OHLCV in available replay cache
3090,日電貿,被動元件,missing OHLCV in available replay cache
3131,弘塑,半導體設備/耗材,missing OHLCV in available replay cache
3236,千如,被動元件,missing OHLCV in available replay cache
3264,欣銓,封測/CoWoS,missing OHLCV in available replay cache
3324,雙鴻,散熱,missing OHLCV in available replay cache
3338,泰碩,散熱,missing OHLCV in available replay cache
3357,臺慶科,被動元件,missing OHLCV in available replay cache
3413,京鼎,半導體設備/耗材,missing OHLCV in available replay cache
3483,力致,散熱,missing OHLCV in available replay cache
3576,聯合再生,綠能/儲能,missing OHLCV in available replay cache
3583,辛耘,半導體設備/耗材,missing OHLCV in available replay cache
3624,光頡,被動元件,missing OHLCV in available replay cache
3653,健策,散熱,missing OHLCV in available replay cache
3702,大聯大,電子通路,missing OHLCV in available replay cache
3708,上緯投控,綠能/儲能,missing OHLCV in available replay cache
3711,日月光投控,封測/CoWoS,missing OHLCV in available replay cache
4123,晟德,生技醫療,missing OHLCV in available replay cache
4162,智擎,生技醫療,missing OHLCV in available replay cache
4572,駐龍,軍工/無人機,missing OHLCV in available replay cache
4743,合一,生技醫療,missing OHLCV in available replay cache
4768,晶呈科技,半導體設備/耗材,missing OHLCV in available replay cache
4916,事欣科,軍工/無人機,missing OHLCV in available replay cache
5434,崇越,半導體設備/耗材,missing OHLCV in available replay cache
5876,上海商銀,金融,missing OHLCV in available replay cache
6127,九豪,被動元件,missing OHLCV in available replay cache
6147,頎邦,封測/CoWoS,missing OHLCV in available replay cache
6173,信昌電,被動元件,missing OHLCV in available replay cache
6187,萬潤,半導體設備/耗材,missing OHLCV in available replay cache
6223,旺矽,封測/CoWoS,missing OHLCV in available replay cache
6230,尼得科超眾,散熱,missing OHLCV in available replay cache
6239,力成,封測/CoWoS,missing OHLCV in available replay cache
6244,茂迪,綠能/儲能,missing OHLCV in available replay cache
6257,矽格,封測/CoWoS,missing OHLCV in available replay cache
6443,元晶,綠能/儲能,missing OHLCV in available replay cache
6446,藥華藥,生技醫療,missing OHLCV in available replay cache
6505,台塑化,塑化,missing OHLCV in available replay cache
6510,精測,封測/CoWoS,missing OHLCV in available replay cache
6806,森崴能源,重電/電網,missing OHLCV in available replay cache
8033,雷虎,軍工/無人機,missing OHLCV in available replay cache
8043,蜜望實,被動元件,missing OHLCV in available replay cache
