symbol,name,theme,role,formal_ohlcv_available,formal_status
1536,和大,車用電子,車用傳動零件,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
1590,亞德客-KY,機器人/自動化,氣動元件/自動化,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
1815,富喬,PCB/載板,玻纖布/材料,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2049,上銀,機器人/自動化,線性傳動,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2231,為升,車用電子,車用電子,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2301,光寶科,AI伺服器/ODM,伺服器電源/系統零組件,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2308,台達電,電源/BBU,伺服器電源/電源管理,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2313,華通,PCB/載板,PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2316,楠梓電,PCB/載板,PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2317,鴻海,AI伺服器/ODM,AI 伺服器系統組裝,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2337,旺宏,記憶體,NOR Flash,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2344,華邦電,記憶體,利基型 DRAM/NAND,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2356,英業達,AI伺服器/ODM,伺服器 ODM,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2357,華碩,AI伺服器/ODM,伺服器/品牌硬體,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2359,所羅門,機器人/自動化,機器視覺/自動化,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2367,燿華,PCB/載板,PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2368,金像電,PCB/載板,AI 伺服器 PCB,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2376,技嘉,AI伺服器/ODM,伺服器主機板/GPU 板卡,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2379,瑞昱,ASIC/IP,通訊 IC,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2382,廣達,AI伺服器/ODM,AI 伺服器 ODM,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2383,台光電,PCB/載板,CCL,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2408,南亞科,記憶體,DRAM,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2454,聯發科,ASIC/IP,IC 設計,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2457,飛宏,電源/BBU,電源供應器,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2464,盟立,機器人/自動化,自動化設備,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
2497,怡利電,車用電子,車載電子,true,ohlcv_available_but_formal_blocked_by_fundamental_theme_turnover
