symbol,name,theme,theme_membership_status,unavailable_reason
2408,南亞科,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2344,華邦電,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2337,旺宏,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3006,晶豪科,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3260,威剛,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
8299,群聯,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
8271,宇瞻,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
8088,品安,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6531,愛普*,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6770,力積電,記憶體,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3037,欣興,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
8046,南電,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3189,景碩,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2368,金像電,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2383,台光電,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6274,台燿,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6213,聯茂,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
8358,金居,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2313,華通,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3044,健鼎,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
4958,臻鼎-KY,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2316,楠梓電,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2367,燿華,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
1815,富喬,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
5439,高技,PCB/載板,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3163,波若威,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3363,上詮,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
4908,前鼎,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
4979,華星光,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3081,聯亞,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3450,聯鈞,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3234,光環,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
4977,眾達-KY,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6442,光聖,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6451,訊芯-KY,CPO/矽光子,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2327,國巨,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2492,華新科,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2472,立隆電,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3026,禾伸堂,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3090,日電貿,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2375,凱美,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6173,信昌電,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
6127,九豪,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
8043,蜜望實,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3624,光頡,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3357,臺慶科,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
3236,千如,被動元件,current_static_map_only,theme_map.csv has no effective date or historical source fields.
2382,廣達,AI伺服器/ODM,current_static_map_only,theme_map.csv has no effective date or historical source fields.
