date,market,metric,turnover_value,volume,transactions,source_route,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-03,TWSE,1.一般股票,1003234683333,6744667606,4555068,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-03,TWSE,6.變更交易股票,8192803,539305,592,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-03,TWSE,14.創新板股票,1173202975,6561008,7366,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-03,TWSE,15.創新板-變更交易方法股票,0,0,0,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-03,TPEx,上櫃股票行情總計,264845170240,1500502218,1300271,tpex_daily_quotes,0,False,False,False,True,False,False,False,True,False
2026-07-06,TWSE,1.一般股票,984367149891,7344324488,4845076,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-06,TWSE,6.變更交易股票,8986415,649012,686,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-06,TWSE,14.創新板股票,957167878,6656365,7621,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-06,TWSE,15.創新板-變更交易方法股票,0,0,0,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-06,TPEx,上櫃股票行情總計,305447583507,1526755712,1457381,tpex_daily_quotes,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,1.一般股票,1101122856512,7265233446,5524084,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,6.變更交易股票,7186655,541031,511,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,14.創新板股票,1248420326,6564855,9003,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-07,TWSE,15.創新板-變更交易方法股票,0,0,0,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-07,TPEx,上櫃股票行情總計,278132671815,1400006451,1550973,tpex_daily_quotes,0,False,False,False,True,False,False,False,True,False
2026-07-08,TWSE,1.一般股票,921484506945,5805028554,3987899,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-08,TWSE,6.變更交易股票,9646199,806080,550,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-08,TWSE,14.創新板股票,3526925721,5353110,9320,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-08,TWSE,15.創新板-變更交易方法股票,0,0,0,twse_mi_index_allbut0999,0,False,False,False,True,False,False,False,True,False
2026-07-08,TPEx,上櫃股票行情總計,222060174565,1137554794,1127627,tpex_daily_quotes,0,False,False,False,True,False,False,False,True,False
