timestamp,status,detail
2026-07-03T22:08:43+08:00,running,skeleton_created_building_bounded_source_probe_runner
2026-07-03T22:13:13.518910+08:00,completed_partial_twse_sector_route_unlocked,accepted_rows=2696 proxy_rows=2 blocked_rows=3 attempts=97
