target_period,event_target,control_values,status,http_code,content_type,date_field_detected,holdings_date,row_count,retrieved_path,error,notes
2014Q4,__query_submit__,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": """", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2014"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""12"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201412""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2014Q4,ctl00$ContentPlaceHolder1$BtnQuery,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$BtnQuery"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2014"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""12"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201412""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2014Q4,ctl00$ContentPlaceHolder1$ddlQ_YEAR,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2014"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""12"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201412""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2014Q4,ctl00$ContentPlaceHolder1$ddlQ_MONTH,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2014"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""12"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201412""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2016Q1,__query_submit__,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": """", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2016"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""03"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201603""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2016Q1,ctl00$ContentPlaceHolder1$BtnQuery,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$BtnQuery"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2016"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""03"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201603""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2016Q1,ctl00$ContentPlaceHolder1$ddlQ_YEAR,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2016"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""03"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201603""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2016Q1,ctl00$ContentPlaceHolder1$ddlQ_MONTH,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2016"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""03"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""201603""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2021Q4,__query_submit__,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": """", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2021"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""12"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""202112""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
2021Q4,ctl00$ContentPlaceHolder1$BtnQuery,"{""__VIEWSTATE"": ""/wEPDwUINTM5ODAxNzgPZBYCZg9kFgICAw9kFgQCAQ8PFgIeBFRleHRlZGQCAw9kFgYCBQ8QZBAVFwcyMDA05bm0BzIwMDXlubQHMjAwNuW5tAcyMDA35bm0BzIwMDjlubQHMjAwOeW5tAcyMDEw5bm0BzIwMTHlubQHMjAxMuW5tAcyMDEz5bm0BzIwMTTlubQHMjAxNeW5tAcyMDE25bm0BzIwMTflubQHMjAxOOW5tAcy"", ""__VIEWSTATEGENERATOR"": ""D81102BD"", ""__EVENTVALIDATION"": ""/wEdACVtmUgHFi8A5BhAqPHuVoyPkTUeqDAyidD3NGchKfO+3NmC/gdT5kZ8gc2J0GrOKuaXmAATQcb5I/B9THwLzyGlRyttEqPASBuv1szRqONfUGSOULC2T/cUsaT8hHARNOrP88Kdi/ae1xYIF4UnBZEn3CPKCJvqXYe/aEwkdHJECn14DxBwwHmaeol4SLAxmZ3Jksit5mzDCnKuCn2LkrMv5AxLqwizKGZnDeeqqx2k"", ""ctl00$ContentPlaceHolder1$BtnQuery"": """", ""__EVENTTARGET"": ""ctl00$ContentPlaceHolder1$BtnQuery"", ""__EVENTARGUMENT"": """", ""ctl00$ContentPlaceHolder1$ddlQ_YEAR"": ""2021"", ""ctl00$ContentPlaceHolder1$ddlQ_MONTH"": ""12"", ""ctl00$ContentPlaceHolder1$BtnQuery.x"": ""10"", ""ctl00$ContentPlaceHolder1$BtnQuery.y"": ""10"", ""fundid"": ""1066"", ""code"": ""0050"", ""month"": ""202112""}",http_non_ok,404,text/html,,,0,,,session-aware postback with cookies and hidden fields
