family,market,source_url,http_status,response_bytes,source_hash,retrieved_at,status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,151049,51d035ec5baff1d2cb42d82859b02b529e60b2a47172958cc33b233a702d1e27,,accepted,,,,,,,,,
margin_short,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/balance,200,105881,129ef97e46991ff64d027d1bb22b0a33bb5f6c7545e09afa1a9fdb807c5ca22b,,accepted,,,,,,,,,
securities_lending,TPEx,https://www.tpex.org.tw/www/zh-tw/margin/sbl,200,98746,c0ec0e9c02e0986ade4c70c8128b1ae11496135a1c91de71da466d6915cb180b,,accepted,,,,,,,,,
foreign_ownership,TWSE,https://www.twse.com.tw/fund/MI_QFIIS?response=json&date=20260702&selectType=ALLBUT0999,200,,5753a66a60cbc6585b63d01d5813d7d74ad88ed44c83e3ee8592a9f3a3faca28,,accepted,,,,,,,,,
foreign_ownership,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/qfii?date=2026%2F07%2F02&response=json,200,,5d7e013570f9d5fa9236178e45c697a506406c66e892d1ac2463801408cdfbd8,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TWSE,https://www.twse.com.tw/exchangeReport/MI_INDEX?date=20260703&type=ALLBUT0999&response=json,200,246610,27c590f8b60df258023f2d5d54586dbaaacaf003c56cb5a77f19a6868f767896,,accepted,,,,,,,,,
official_raw_execution_ohlcv,TPEx,https://www.tpex.org.tw/www/zh-tw/afterTrading/dailyQuotes?date=2026/07/03&response=json,200,1491456,f65ddbfd08c81790dc7f6b3a08fa8a4eddce3bd7b21364cf5081cf83a61860a8,,accepted,,,,,,,,,
institutional,TWSE,https://www.twse.com.tw/fund/T86?date=20260703&selectType=ALLBUT0999&response=json,200,196304,e9bbb8fd690957fbd38dae0793fee3b8a17b0647bf45ab297230e9d5c20c30bd,,accepted,,,,,,,,,
margin_short,TWSE,https://www.twse.com.tw/exchangeReport/MI_MARGN?date=20260703&selectType=ALL&response=json,200,127737,91482bc8bbfa2f98c756e9936295a7d2bef670c3b4506b54b51599e0993e8e39,,accepted,,,,,,,,,
securities_lending,TWSE,https://www.twse.com.tw/exchangeReport/TWT72U?date=20260703&response=json,200,199608,3461ec1f563e2c0024b14013c3ec0e8ee594d5c3af7965f3ffac370fcd57f942,,accepted,,,,,,,,,
institutional,TPEx,https://www.tpex.org.tw/www/zh-tw/insti/dailyTrade,200,154255,62d8f090e7db2ecc80b484b79209aefe17d6b7777d3f00815f58e084333f004e,,accepted,,,,,,,,,
