date,weekday,session_verdict,twse_price_status,tpex_price_status,twse_price_rows,tpex_price_rows,signal_allowed,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-06-30,Tuesday,accepted_open_day,accepted,accepted,1080,876,True,0,False,False,False,False,False,False,False,True,False
2026-07-01,Wednesday,accepted_open_day,accepted,accepted,1080,877,True,0,False,False,False,False,False,False,False,True,False
2026-07-02,Thursday,accepted_open_day,accepted,accepted,1079,870,True,0,False,False,False,False,False,False,False,True,False
2026-07-03,Friday,accepted_open_day,accepted,accepted,1079,883,True,0,False,False,False,False,False,False,False,True,False
2026-07-04,Saturday,weekend_closed,not_queried,not_queried,0,0,False,0,False,False,False,False,False,False,False,True,False
2026-07-05,Sunday,weekend_closed,not_queried,not_queried,0,0,False,0,False,False,False,False,False,False,False,True,False
2026-07-06,Monday,accepted_open_day,accepted,accepted,1080,882,True,0,False,False,False,False,False,False,False,True,False
2026-07-07,Tuesday,accepted_open_day,accepted,accepted,1082,877,True,0,False,False,False,False,False,False,False,True,False
2026-07-08,Wednesday,accepted_open_day,accepted,accepted,1082,873,True,0,False,False,False,False,False,False,False,True,False
2026-07-09,Thursday,accepted_open_day,accepted,accepted,1082,873,True,0,False,False,False,False,False,False,False,True,False
2026-07-10,Friday,market_closed_no_signal,no_rows,no_rows,0,0,False,0,False,False,False,False,False,False,False,True,False
2026-07-11,Saturday,weekend_closed,not_queried,not_queried,0,0,False,0,False,False,False,False,False,False,False,True,False
2026-07-12,Sunday,weekend_closed,not_queried,not_queried,0,0,False,0,False,False,False,False,False,False,False,True,False
