ticker,market,report_period,announcement_rows_seen,prefilter_pass_rows,detail_fetch_count,premeeting_notice_excluded,wrong_period_subject_excluded,accepted_candidate_count,chosen_match_status,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
1101,TWSE,115Q1,10,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
1101,TWSE,114Q4,20,8,8,1,0,1,accepted,False,False,False,False,False,False,True,False
1216,TWSE,115Q1,26,11,11,1,0,1,accepted,False,False,False,False,False,False,True,False
1216,TWSE,114Q4,27,15,15,1,0,1,accepted,False,False,False,False,False,False,True,False
1301,TWSE,115Q1,12,4,4,0,0,1,accepted,False,False,False,False,False,False,True,False
1301,TWSE,114Q4,18,4,4,0,0,1,accepted,False,False,False,False,False,False,True,False
2330,TWSE,115Q1,56,7,7,0,0,1,accepted,False,False,False,False,False,False,True,False
2330,TWSE,114Q4,68,5,5,0,0,1,accepted,False,False,False,False,False,False,True,False
2308,TWSE,115Q1,38,7,7,1,0,1,accepted,False,False,False,False,False,False,True,False
2308,TWSE,114Q4,48,9,9,1,0,1,accepted,False,False,False,False,False,False,True,False
2317,TWSE,115Q1,46,6,6,1,0,1,accepted,False,False,False,False,False,False,True,False
2317,TWSE,114Q4,62,12,12,1,0,1,accepted,False,False,False,False,False,False,True,False
2454,TWSE,115Q1,30,7,7,1,0,1,accepted,False,False,False,False,False,False,True,False
2454,TWSE,114Q4,28,8,8,0,0,1,accepted,False,False,False,False,False,False,True,False
2881,TWSE,115Q1,83,18,18,0,1,1,accepted,False,False,False,False,False,False,True,False
2881,TWSE,114Q4,85,13,13,0,0,1,accepted,False,False,False,False,False,False,True,False
2882,TWSE,115Q1,49,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
2882,TWSE,114Q4,75,10,10,1,0,1,accepted,False,False,False,False,False,False,True,False
3008,TWSE,115Q1,15,5,5,1,2,1,accepted,False,False,False,False,False,False,True,False
3008,TWSE,114Q4,19,3,3,1,0,1,accepted,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,82,17,17,0,1,1,accepted,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,65,10,10,0,0,1,accepted,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,26,6,6,1,0,1,accepted,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,33,13,13,1,0,1,accepted,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,11,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,13,6,6,1,0,1,accepted,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,18,5,5,1,0,1,accepted,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,20,7,7,1,0,1,accepted,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,20,4,4,3,0,1,accepted,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,19,6,6,3,0,1,accepted,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,20,9,9,1,0,1,accepted,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,19,4,4,1,0,3,accepted,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,18,2,2,1,0,1,accepted,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,15,7,7,1,0,2,accepted,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,18,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,15,8,8,1,0,1,accepted,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,5,1,1,0,0,1,accepted,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,6,3,3,0,0,1,accepted,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,20,1,1,1,0,1,accepted,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,11,4,4,1,0,1,accepted,False,False,False,False,False,False,True,False
